family,n,b,k,T,candidate_logN,voters_per_ciphertext,ciphertext_blocks,max_submissions_per_block_per_period,fresh_input_additions_all_periods,benchmark_input_additions,period_accumulator_encryptions,echo_ct_multiplications,echo_ct_additions,echo_multiplication_depth,majority_polynomial_evaluations,downstream_ct_multiplications_excluding_polynomial,downstream_multiplication_depth,uninterrupted_depth,final_refresh_ciphertexts,intermediate_refresh_ciphertexts,cli_refresh_mode,cli_refresh_interval,minimum_Q_prime_count_in_current_loader,Q_selection_status
tree-none,200,5,5,5,14,3276,1,200,3000,600,15,42,32,4,2,3,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,200,5,5,5,14,3276,1,200,3000,600,15,42,32,4,2,3,5,5,2,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,200,5,5,5,14,3276,1,200,3000,600,15,18,16,5,2,3,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,200,5,5,5,14,3276,1,200,3000,600,15,18,16,5,2,3,5,5,2,0,collective,5,4,unresolved-noise-bounds-required
tree-none,200,5,5,5,15,6552,1,200,3000,600,15,42,32,4,2,3,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,200,5,5,5,15,6552,1,200,3000,600,15,42,32,4,2,3,5,5,2,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,200,5,5,5,15,6552,1,200,3000,600,15,18,16,5,2,3,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,200,5,5,5,15,6552,1,200,3000,600,15,18,16,5,2,3,5,5,2,0,collective,5,4,unresolved-noise-bounds-required
tree-none,500,5,5,5,14,3276,1,500,7500,1500,15,42,32,4,2,3,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,500,5,5,5,14,3276,1,500,7500,1500,15,42,32,4,2,3,5,5,2,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,500,5,5,5,14,3276,1,500,7500,1500,15,18,16,5,2,3,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,500,5,5,5,14,3276,1,500,7500,1500,15,18,16,5,2,3,5,5,2,0,collective,5,4,unresolved-noise-bounds-required
tree-none,500,5,5,5,15,6552,1,500,7500,1500,15,42,32,4,2,3,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,500,5,5,5,15,6552,1,500,7500,1500,15,42,32,4,2,3,5,5,2,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,500,5,5,5,15,6552,1,500,7500,1500,15,18,16,5,2,3,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,500,5,5,5,15,6552,1,500,7500,1500,15,18,16,5,2,3,5,5,2,0,collective,5,4,unresolved-noise-bounds-required
tree-none,1000,5,5,5,14,3276,1,1000,15000,3000,15,42,32,4,2,3,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,1000,5,5,5,14,3276,1,1000,15000,3000,15,42,32,4,2,3,5,5,2,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,1000,5,5,5,14,3276,1,1000,15000,3000,15,18,16,5,2,3,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,1000,5,5,5,14,3276,1,1000,15000,3000,15,18,16,5,2,3,5,5,2,0,collective,5,4,unresolved-noise-bounds-required
tree-none,1000,5,5,5,15,6552,1,1000,15000,3000,15,42,32,4,2,3,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,1000,5,5,5,15,6552,1,1000,15000,3000,15,42,32,4,2,3,5,5,2,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,1000,5,5,5,15,6552,1,1000,15000,3000,15,18,16,5,2,3,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,1000,5,5,5,15,6552,1,1000,15000,3000,15,18,16,5,2,3,5,5,2,0,collective,5,4,unresolved-noise-bounds-required
tree-none,5000,5,5,5,14,3276,2,3276,75000,15000,30,84,64,4,4,6,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,5000,5,5,5,14,3276,2,3276,75000,15000,30,84,64,4,4,6,5,5,4,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,5000,5,5,5,14,3276,2,3276,75000,15000,30,36,32,5,4,6,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,5000,5,5,5,14,3276,2,3276,75000,15000,30,36,32,5,4,6,5,5,4,0,collective,5,4,unresolved-noise-bounds-required
tree-none,5000,5,5,5,15,6552,1,5000,75000,15000,15,42,32,4,2,3,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,5000,5,5,5,15,6552,1,5000,75000,15000,15,42,32,4,2,3,5,5,2,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,5000,5,5,5,15,6552,1,5000,75000,15000,15,18,16,5,2,3,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,5000,5,5,5,15,6552,1,5000,75000,15000,15,18,16,5,2,3,5,5,2,0,collective,5,4,unresolved-noise-bounds-required
tree-none,10000,5,5,5,14,3276,4,3276,150000,30000,60,168,128,4,8,12,5,9,0,0,none,0,4,unresolved-noise-bounds-required
tree-final-refresh,10000,5,5,5,14,3276,4,3276,150000,30000,60,168,128,4,8,12,5,5,8,0,collective,0,4,unresolved-noise-bounds-required
sequential-none,10000,5,5,5,14,3276,4,3276,150000,30000,60,72,64,5,8,12,5,10,0,0,none,0,4,unresolved-noise-bounds-required
sequential-final-refresh,10000,5,5,5,14,3276,4,3276,150000,30000,60,72,64,5,8,12,5,5,8,0,collective,5,4,unresolved-noise-bounds-required
tree-none,10000,5,5,5,15,6552,2,6552,150000,30000,30,84,64,4,4,6,5,9,0,0,none,0,4,unresolved-noise-bounds-required
