experiment_id,n,b,k,T,qmax,parties,strategy,echo_mode,refresh_mode,refresh_interval,execution_mode,sample_voters,parameter_file
n200-b3-k5-sequential-none,200,3,5,5,1,3,sequential-none,sequential,none,0,fresh,0,parameters/aligned-final/sequential-none-t65537.json
n200-b3-k5-sequential-final,200,3,5,5,1,3,sequential-final,sequential,collective,5,fresh,0,parameters/aligned-final/sequential-final-t65537.json
n500-b3-k5-sequential-none,500,3,5,5,1,3,sequential-none,sequential,none,0,fresh,0,parameters/aligned-final/sequential-none-t65537.json
n500-b3-k5-sequential-final,500,3,5,5,1,3,sequential-final,sequential,collective,5,fresh,0,parameters/aligned-final/sequential-final-t65537.json
n1k-b3-k5-sequential-none,1000,3,5,5,1,3,sequential-none,sequential,none,0,fresh,0,parameters/aligned-final/sequential-none-t65537.json
n1k-b3-k5-sequential-final,1000,3,5,5,1,3,sequential-final,sequential,collective,5,fresh,0,parameters/aligned-final/sequential-final-t65537.json
n5k-b3-k5-sequential-none,5000,3,5,5,1,3,sequential-none,sequential,none,0,fresh,0,parameters/aligned-final/sequential-none-t65537.json
n5k-b3-k5-sequential-final,5000,3,5,5,1,3,sequential-final,sequential,collective,5,fresh,0,parameters/aligned-final/sequential-final-t65537.json
n10k-b3-k5-sequential-none,10000,3,5,5,1,3,sequential-none,sequential,none,0,benchmark,10000,parameters/aligned-final/sequential-none-t65537.json
n10k-b3-k5-sequential-final,10000,3,5,5,1,3,sequential-final,sequential,collective,5,benchmark,10000,parameters/aligned-final/sequential-final-t65537.json
n25k-b3-k5-sequential-none,25000,3,5,5,1,3,sequential-none,sequential,none,0,benchmark,25000,parameters/aligned-final/sequential-none-t65537.json
n25k-b3-k5-sequential-final,25000,3,5,5,1,3,sequential-final,sequential,collective,5,benchmark,25000,parameters/aligned-final/sequential-final-t65537.json
n50k-b3-k5-sequential-none,50000,3,5,5,1,3,sequential-none,sequential,none,0,benchmark,50000,parameters/aligned-final/sequential-none-t65537.json
n50k-b3-k5-sequential-final,50000,3,5,5,1,3,sequential-final,sequential,collective,5,benchmark,50000,parameters/aligned-final/sequential-final-t65537.json
n100k-b3-k5-sequential-none,100000,3,5,5,1,3,sequential-none,sequential,none,0,benchmark,100000,parameters/aligned-final/sequential-none-t786433.json
n100k-b3-k5-sequential-final,100000,3,5,5,1,3,sequential-final,sequential,collective,5,benchmark,100000,parameters/aligned-final/sequential-final-t786433.json
n500k-b3-k5-sequential-none,500000,3,5,5,1,3,sequential-none,sequential,none,0,benchmark,500000,parameters/aligned-final/sequential-none-t786433.json
n500k-b3-k5-sequential-final,500000,3,5,5,1,3,sequential-final,sequential,collective,5,benchmark,500000,parameters/aligned-final/sequential-final-t786433.json
n1M-b3-k5-sequential-none,1000000,3,5,5,1,3,sequential-none,sequential,none,0,benchmark,1000000,parameters/b3-k5/sequential-none-1M.json
n1M-b3-k5-sequential-final,1000000,3,5,5,1,3,sequential-final,sequential,collective,5,benchmark,1000000,parameters/b3-k5/sequential-final-1M.json
