experiment_id,n,b,k,T,qmax,parties,strategy,echo_mode,refresh_mode,refresh_interval,execution_mode,sample_voters,parameter_file
n200-b5-k5-tree-none,200,5,5,5,1,3,tree-none,tree,none,0,fresh,0,parameters/aligned-final/tree-none-t65537.json
n200-b5-k5-sequential-none,200,5,5,5,1,3,sequential-none,sequential,none,0,fresh,0,parameters/aligned-final/sequential-none-t65537.json
n500-b5-k5-tree-none,500,5,5,5,1,3,tree-none,tree,none,0,fresh,0,parameters/aligned-final/tree-none-t65537.json
n500-b5-k5-sequential-none,500,5,5,5,1,3,sequential-none,sequential,none,0,fresh,0,parameters/aligned-final/sequential-none-t65537.json
n1000-b5-k5-tree-none,1000,5,5,5,1,3,tree-none,tree,none,0,fresh,0,parameters/aligned-final/tree-none-t65537.json
n1000-b5-k5-sequential-none,1000,5,5,5,1,3,sequential-none,sequential,none,0,fresh,0,parameters/aligned-final/sequential-none-t65537.json
n5000-b5-k5-tree-none,5000,5,5,5,1,3,tree-none,tree,none,0,fresh,0,parameters/aligned-final/tree-none-t65537.json
n5000-b5-k5-sequential-none,5000,5,5,5,1,3,sequential-none,sequential,none,0,fresh,0,parameters/aligned-final/sequential-none-t65537.json
n10000-b5-k5-tree-none,10000,5,5,5,1,3,tree-none,tree,none,0,benchmark,10000,parameters/aligned-final/tree-none-t65537.json
n10000-b5-k5-sequential-none,10000,5,5,5,1,3,sequential-none,sequential,none,0,benchmark,10000,parameters/aligned-final/sequential-none-t65537.json
n10000-b5-k5-tree-final,10000,5,5,5,1,3,tree-final,tree,collective,0,benchmark,10000,parameters/aligned-final/tree-final-t65537.json
n10000-b5-k5-sequential-final,10000,5,5,5,1,3,sequential-final,sequential,collective,5,benchmark,10000,parameters/aligned-final/sequential-final-t65537.json
n25000-b5-k5-tree-none,25000,5,5,5,1,3,tree-none,tree,none,0,benchmark,25000,parameters/aligned-final/tree-none-t65537.json
n25000-b5-k5-sequential-none,25000,5,5,5,1,3,sequential-none,sequential,none,0,benchmark,25000,parameters/aligned-final/sequential-none-t65537.json
n50000-b5-k5-tree-none,50000,5,5,5,1,3,tree-none,tree,none,0,benchmark,50000,parameters/aligned-final/tree-none-t65537.json
n50000-b5-k5-sequential-none,50000,5,5,5,1,3,sequential-none,sequential,none,0,benchmark,50000,parameters/aligned-final/sequential-none-t65537.json
n50000-b5-k5-tree-final,50000,5,5,5,1,3,tree-final,tree,collective,0,benchmark,50000,parameters/aligned-final/tree-final-t65537.json
n50000-b5-k5-sequential-final,50000,5,5,5,1,3,sequential-final,sequential,collective,5,benchmark,50000,parameters/aligned-final/sequential-final-t65537.json
n100000-b5-k5-tree-none,100000,5,5,5,1,3,tree-none,tree,none,0,benchmark,100000,parameters/aligned-final/tree-none-t786433.json
n100000-b5-k5-sequential-none,100000,5,5,5,1,3,sequential-none,sequential,none,0,benchmark,100000,parameters/aligned-final/sequential-none-t786433.json
n500000-b5-k5-tree-none,500000,5,5,5,1,3,tree-none,tree,none,0,benchmark,500000,parameters/aligned-final/tree-none-t786433.json
n500000-b5-k5-sequential-none,500000,5,5,5,1,3,sequential-none,sequential,none,0,benchmark,500000,parameters/aligned-final/sequential-none-t786433.json
