family,repetition,workload,probe_n,target_n,status,exit_code,min_margin_bits,elapsed_seconds,run_directory,log,tally_flow,evidence_source
sequential-final-t65537-b3-k5-sequential-final,0,concentrated,6,50000,passed,0,50.605515,5.858488625031896,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/raw/20260915_172144_n6_b3_k5_T5_109632243,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/sequential-final-t65537-b3-k5-sequential-final-0.log,period-streaming-masked-echo-v3,four-workload-screen
sequential-final-t65537-b3-k5-sequential-final,1,balanced,6,50000,passed,0,48.766392,7.515774000028614,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/raw/20260915_172150_n6_b3_k5_T5_1755318650,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/sequential-final-t65537-b3-k5-sequential-final-1.log,period-streaming-masked-echo-v3,four-workload-screen
sequential-final-t65537-b3-k5-sequential-final,2,random,6,50000,passed,0,52.000556,11.72463891596999,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/raw/20260915_172158_n6_b3_k5_T5_243577734,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/sequential-final-t65537-b3-k5-sequential-final-2.log,period-streaming-masked-echo-v3,four-workload-screen
sequential-final-t65537-b3-k5-sequential-final,3,carry,6,50000,passed,0,48.362925,11.300975167017896,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/raw/20260915_172209_n6_b3_k5_T5_3037483542,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/sequential-final-t65537-b3-k5-sequential-final-3.log,period-streaming-masked-echo-v3,four-workload-screen
sequential-final-t786433-b3-k5-sequential-final,0,concentrated,6,500000,passed,0,81.402397,25.307064292021096,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/raw/20260915_172221_n6_b3_k5_T5_4247476573,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/sequential-final-t786433-b3-k5-sequential-final-0.log,period-streaming-masked-echo-v3,four-workload-screen
sequential-final-t786433-b3-k5-sequential-final,1,balanced,6,500000,passed,0,85.057999,34.22994733299129,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/raw/20260915_172246_n6_b3_k5_T5_3016392944,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/sequential-final-t786433-b3-k5-sequential-final-1.log,period-streaming-masked-echo-v3,four-workload-screen
sequential-final-t786433-b3-k5-sequential-final,2,random,6,500000,passed,0,80.53321,17.42731487500714,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/raw/20260915_172320_n6_b3_k5_T5_3716609473,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/sequential-final-t786433-b3-k5-sequential-final-2.log,period-streaming-masked-echo-v3,four-workload-screen
sequential-final-t786433-b3-k5-sequential-final,3,carry,6,500000,passed,0,82.739094,20.755678625020664,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/raw/20260915_172338_n6_b3_k5_T5_1886798333,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/sequential-final-t786433-b3-k5-sequential-final-3.log,period-streaming-masked-echo-v3,four-workload-screen
sequential-final-1M-b3-k5-sequential-final,0,concentrated,6,1000000,passed,0,137.257668,23.49024891696172,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/raw/20260915_172358_n6_b3_k5_T5_2349530803,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/sequential-final-1M-b3-k5-sequential-final-0.log,period-streaming-masked-echo-v3,four-workload-screen
sequential-final-1M-b3-k5-sequential-final,1,balanced,6,1000000,passed,0,135.982063,24.94085058401106,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/raw/20260915_172422_n6_b3_k5_T5_3303437670,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/sequential-final-1M-b3-k5-sequential-final-1.log,period-streaming-masked-echo-v3,four-workload-screen
sequential-final-1M-b3-k5-sequential-final,2,random,6,1000000,passed,0,131.479884,20.01023166597588,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/raw/20260915_172447_n6_b3_k5_T5_107097903,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/sequential-final-1M-b3-k5-sequential-final-2.log,period-streaming-masked-echo-v3,four-workload-screen
sequential-final-1M-b3-k5-sequential-final,3,carry,6,1000000,passed,0,133.377197,23.400750208005775,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/raw/20260915_172507_n6_b3_k5_T5_1334988591,/Users/mariana/voting-benchmarks/coercion_resistant_voting/experiments/validation/b3-campaigns/screen-ebuonhiy/sequential-final-1M-b3-k5-sequential-final-3.log,period-streaming-masked-echo-v3,four-workload-screen
