family,repetition,workload,probe_n,target_n,status,exit_code,min_margin_bits,elapsed_seconds,run_directory,log,tally_flow,parameter_file
sequential-final-t65537-b5-k5-sequential-final,10,random,6,1000,passed,0,58.913052,4.032673249996151,experiments/validation/final-refresh-20260908/raw/20260908_183818_n6_b5_k5_T5_432586675,experiments/validation/final-refresh-20260908/sequential-collective-n1000-q288-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t65537.json
sequential-final-t65537-b5-k5-sequential-final,10,random,6,10000,passed,0,53.588021,4.229811750003137,experiments/validation/final-refresh-20260908/raw/20260908_183934_n6_b5_k5_T5_2457939396,experiments/validation/final-refresh-20260908/sequential-collective-n10000-q288-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t65537.json
sequential-final-t786433-b5-k5-sequential-final,10,random,6,100000,passed,0,85.731868,6.273227999998198,experiments/validation/final-refresh-20260908/raw/20260908_184133_n6_b5_k5_T5_2796076910,experiments/validation/final-refresh-20260908/sequential-collective-n100000-q360p120-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t786433.json
sequential-final-t65537-b5-k5-sequential-final,0,concentrated,6,200,passed,0,59.054283,4.099714916999801,experiments/validation/final-refresh-20260908/raw/20260908_182923_n6_b5_k5_T5_1647887197,experiments/validation/final-refresh-20260908/sequential-collective-n200-q288-concentrated-0.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t65537.json
sequential-final-t65537-b5-k5-sequential-final,10,random,6,200,passed,0,56.278229,4.046979457998532,experiments/validation/final-refresh-20260908/raw/20260908_183659_n6_b5_k5_T5_738469979,experiments/validation/final-refresh-20260908/sequential-collective-n200-q288-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t65537.json
sequential-final-t65537-b5-k5-sequential-final,10,random,6,25000,passed,0,50.176764,4.024124417002895,experiments/validation/final-refresh-20260908/raw/20260908_184014_n6_b5_k5_T5_3909502846,experiments/validation/final-refresh-20260908/sequential-collective-n25000-q288-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t65537.json
sequential-final-t65537-b5-k5-sequential-final,10,random,6,500,passed,0,56.521287,4.3368706250039395,experiments/validation/final-refresh-20260908/raw/20260908_183738_n6_b5_k5_T5_3880072282,experiments/validation/final-refresh-20260908/sequential-collective-n500-q288-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t65537.json
sequential-final-t65537-b5-k5-sequential-final,10,random,6,5000,passed,0,55.987449,4.0336322500006645,experiments/validation/final-refresh-20260908/raw/20260908_183855_n6_b5_k5_T5_522580736,experiments/validation/final-refresh-20260908/sequential-collective-n5000-q288-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t65537.json
sequential-final-t65537-b5-k5-sequential-final,20,balanced,6,50000,passed,0,48.865934,4.413741166994441,experiments/validation/final-refresh-20260908/raw/20260908_184552_n6_b5_k5_T5_2546372651,experiments/validation/final-refresh-20260908/sequential-collective-n50000-q288-balanced-20.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t65537.json
sequential-final-t65537-b5-k5-sequential-final,21,carry,6,50000,passed,0,48.566206,4.2229971250053495,experiments/validation/final-refresh-20260908/raw/20260908_184556_n6_b5_k5_T5_774005085,experiments/validation/final-refresh-20260908/sequential-collective-n50000-q288-carry-21.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t65537.json
