experiment_id,parameter_file,logN,logQ_bits,logP_bits,plaintext_modulus,Q_primes,P_primes,lattice_security_bits,security_method,voters_per_ciphertext,ciphertexts,refresh_boundaries,refresh_ciphertexts,ingestion_periods_measured,input_additions_measured_max,active_period_accumulator_ciphertexts,active_period_accumulator_coefficient_gib,total_period_accumulator_ciphertexts_created,synthetic_trials,synthetic_min_margin_bits,synthetic_status
n200-b3-k5-sequential-none,parameters/aligned-final/sequential-none-t65537.json,15,415.9999883823489,60.99999999999873,65537,8,1,219.87599999999998,fresh-exact-modulus-estimate,6552,1,0,0,5,3000,3,0.01171875,15,1,1.595215,failed-synthetic-screen
n200-b3-k5-sequential-final,parameters/aligned-final/sequential-final-t65537.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,3276,1,1,2,5,3000,3,0.00439453125,15,5,48.362925,passed-masked-echo-v3-synthetic-screen
n500-b3-k5-sequential-none,parameters/aligned-final/sequential-none-t65537.json,15,415.9999883823489,60.99999999999873,65537,8,1,219.87599999999998,fresh-exact-modulus-estimate,6552,1,0,0,5,7500,3,0.01171875,15,1,1.595215,failed-synthetic-screen
n500-b3-k5-sequential-final,parameters/aligned-final/sequential-final-t65537.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,3276,1,1,2,5,7500,3,0.00439453125,15,5,48.362925,passed-masked-echo-v3-synthetic-screen
n1k-b3-k5-sequential-none,parameters/aligned-final/sequential-none-t65537.json,15,415.9999883823489,60.99999999999873,65537,8,1,219.87599999999998,fresh-exact-modulus-estimate,6552,1,0,0,5,15000,3,0.01171875,15,1,1.595215,failed-synthetic-screen
n1k-b3-k5-sequential-final,parameters/aligned-final/sequential-final-t65537.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,3276,1,1,2,5,15000,3,0.00439453125,15,5,48.362925,passed-masked-echo-v3-synthetic-screen
n5k-b3-k5-sequential-none,parameters/aligned-final/sequential-none-t65537.json,15,415.9999883823489,60.99999999999873,65537,8,1,219.87599999999998,fresh-exact-modulus-estimate,6552,1,0,0,5,75000,3,0.01171875,15,1,1.595215,failed-synthetic-screen
n5k-b3-k5-sequential-final,parameters/aligned-final/sequential-final-t65537.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,3276,2,1,4,5,75000,6,0.0087890625,30,5,48.362925,passed-masked-echo-v3-synthetic-screen
n10k-b3-k5-sequential-none,parameters/aligned-final/sequential-none-t65537.json,15,415.9999883823489,60.99999999999873,65537,8,1,219.87599999999998,fresh-exact-modulus-estimate,6552,2,0,0,1,30000,6,0.0234375,30,1,1.595215,failed-synthetic-screen
n10k-b3-k5-sequential-final,parameters/aligned-final/sequential-final-t65537.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,3276,4,1,8,1,30000,12,0.017578125,60,5,48.362925,passed-masked-echo-v3-synthetic-screen
n25k-b3-k5-sequential-none,parameters/aligned-final/sequential-none-t65537.json,15,415.9999883823489,60.99999999999873,65537,8,1,219.87599999999998,fresh-exact-modulus-estimate,6552,4,0,0,1,75000,12,0.046875,60,1,1.595215,failed-synthetic-screen
n25k-b3-k5-sequential-final,parameters/aligned-final/sequential-final-t65537.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,3276,8,1,16,1,75000,24,0.03515625,120,5,48.362925,passed-masked-echo-v3-synthetic-screen
n50k-b3-k5-sequential-none,parameters/aligned-final/sequential-none-t65537.json,15,415.9999883823489,60.99999999999873,65537,8,1,219.87599999999998,fresh-exact-modulus-estimate,6552,8,0,0,1,150000,24,0.09375,120,1,1.595215,failed-synthetic-screen
n50k-b3-k5-sequential-final,parameters/aligned-final/sequential-final-t65537.json,14,287.99936971018906,54.99999999993964,65537,6,1,133.44400000002614,fresh-exact-modulus-estimate,3276,16,1,32,1,150000,48,0.0703125,240,5,48.362925,passed-masked-echo-v3-synthetic-screen
n100k-b3-k5-sequential-none,parameters/aligned-final/sequential-none-t786433.json,15,479.9999992503115,60.99999999999873,786433,8,1,185.42,fresh-exact-modulus-estimate,6552,16,0,0,1,300000,48,0.1875,240,1,12.836376,failed-synthetic-screen
n100k-b3-k5-sequential-final,parameters/aligned-final/sequential-final-t786433.json,15,359.99999276775327,119.99999999996564,786433,6,2,217.83200000000113,fresh-exact-modulus-estimate,6552,16,1,32,1,300000,48,0.140625,240,5,80.53321,passed-masked-echo-v3-synthetic-screen
