phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,1.719,1.718,0.000,0.000,2.089,2.162,2.162,10.562,0.000,1
2-bgv-setup,14933.064,15265.299,14854.532,15161.302,2.162,1873.215,2347.215,2818.562,2573.812,23
3-pre-election-weight-input-preparation,49.971,62.599,0.000,0.000,1153.127,1170.471,1170.471,2818.281,0.000,1
4.1-streamed-input-reception-and-aggregation,112791.386,114125.684,0.000,0.000,1161.668,1180.792,2358.763,2818.562,2659.621,11
4.2-tally-periodic-echo-tree,16.186,21.964,0.000,0.000,1173.763,1180.027,1180.027,2818.500,0.000,1
4.1-streamed-input-reception-and-aggregation,111241.983,112542.285,0.000,0.000,1177.751,1196.901,2400.157,2818.500,2438.203,11
4.2-tally-periodic-echo-tree,1441.675,1548.864,0.000,0.000,1189.874,1227.937,1276.510,2818.469,1329.656,1
4.1-streamed-input-reception-and-aggregation,110206.895,111374.502,0.000,0.000,1193.862,1212.994,2425.554,2818.469,2467.543,11
4.2-tally-periodic-echo-tree,1405.774,1494.633,0.000,0.000,1205.994,1228.055,1304.975,2818.438,1348.309,1
4.1-streamed-input-reception-and-aggregation,110494.197,111745.047,0.000,0.000,1193.981,1213.084,2426.752,2818.438,2468.723,11
4.2-tally-periodic-echo-tree,15.962,24.764,0.000,0.000,1206.085,1212.349,1212.349,2818.062,0.000,1
4.1-streamed-input-reception-and-aggregation,109690.202,111057.620,0.000,0.000,1210.072,1231.463,2468.746,2818.438,2503.203,10
4.2-tally-periodic-echo-tree,2889.800,3059.331,0.000,0.000,1222.180,1228.241,1378.704,2818.406,1401.004,1
4.3-tally-lagrange-indicator,1240.090,1266.242,0.000,0.000,1165.420,1207.260,1226.530,2818.406,1303.984,1
4.4-tally-delegate-support,1650.585,1677.570,0.000,0.000,1169.171,1234.029,1238.844,2818.406,1303.984,1
4.5-tally-dTilde,476.388,478.693,0.000,0.000,1169.173,1223.514,1223.514,2818.062,0.000,1
4.6-tally-Dw+dTilde,5810.691,5883.613,0.000,0.000,1162.923,1180.984,3172.598,3366.281,3111.582,2
4.7-tally-vote-weight-product,1504.621,1693.596,0.000,0.000,1158.927,93.590,1249.504,3366.438,1799.645,1
5-threshold-decrypt-verify,36.128,64.166,29.409,53.903,29.011,7.234,7.234,3366.344,0.000,2
