experiment_id,parameter_id,metric,samples,median,min,max
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-aggregate-initialization:cpu_ms,3,754.425,749.073,778.871
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-aggregate-initialization:wall_ms,3,698.577,695.755,715.184
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-estimated-full-server-aggregation:cpu_ms,3,23973.245,23886.715,24146.345
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-estimated-full-server-aggregation:wall_ms,3,23637.007,23575.052,23766.137
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-server-aggregation:cpu_ms,3,4794.649,4777.343,4829.269
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-server-aggregation:wall_ms,3,4727.401,4715.01,4753.227
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-simulated-client-input-preparation:cpu_ms,3,0.0,0.0,0.0
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-simulated-client-input-preparation:wall_ms,3,0.0,0.0,0.0
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:galois-key-generation:cpu_ms,3,4125.794,4081.928,4141.309
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:galois-key-generation:wall_ms,3,3969.718,3950.165,3981.388
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:public-key-generation:cpu_ms,3,22.562,22.555,24.784
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:public-key-generation:wall_ms,3,17.654,17.024,18.121
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:refresh:cpu_ms,3,343.946,339.379,349.153
n10000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:refresh:wall_ms,3,330.504,328.42,337.457
