phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,1.158,1.205,0.000,0.000,2.084,2.767,2.767,10.625,0.000,1
2-bgv-setup,4199.949,4407.065,4151.699,4338.925,2.767,531.706,813.731,854.625,831.367,20
3-pre-election-weight-input-preparation,84.378,94.228,0.000,0.000,332.155,347.837,347.837,854.656,0.000,1
3.1-benchmark-input-fixture-preparation,17.192,19.821,0.000,0.000,344.289,348.580,348.580,854.469,0.000,1
4.1-streamed-input-reception-and-aggregation,4967.982,5045.248,0.000,0.000,346.291,367.097,369.800,854.625,396.445,1
4.2-tally-periodic-echo-tree,36.131,36.249,0.000,0.000,364.317,371.207,371.207,854.594,0.000,1
4.1-streamed-input-reception-and-aggregation,140.497,141.223,0.000,0.000,370.306,391.101,391.101,854.594,0.000,1
4.2-tally-periodic-echo-tree,1836.126,1851.095,0.000,0.000,388.324,407.139,501.112,854.562,516.270,1
4.1-streamed-input-reception-and-aggregation,153.839,169.520,0.000,0.000,394.314,415.110,415.110,854.562,0.000,1
4.2-tally-periodic-echo-tree,1781.228,1799.024,0.000,0.000,412.333,407.141,525.079,854.562,543.426,1
4.1-streamed-input-reception-and-aggregation,144.101,164.418,0.000,0.000,394.318,415.113,415.113,854.531,0.000,1
4.2-tally-periodic-echo-tree,26.532,26.660,0.000,0.000,412.337,419.227,419.227,854.125,0.000,1
4.1-streamed-input-reception-and-aggregation,146.481,147.394,0.000,0.000,418.326,439.121,439.121,854.344,0.000,1
4.2-tally-periodic-echo-tree,3336.933,3364.347,0.000,0.000,436.345,407.148,665.894,854.531,680.398,1
4.2-tally-periodic-echo-tree,318.537,350.821,318.418,350.770,354.572,360.668,360.668,854.438,0.000,1
4.3-tally-lagrange-indicator,1563.416,1595.462,0.000,0.000,354.561,374.778,401.635,854.531,419.141,1
4.4-tally-delegate-support,1232.874,1253.505,0.000,0.000,360.439,383.422,403.274,854.531,419.270,1
4.5-tally-dTilde,481.250,487.667,0.000,0.000,355.940,368.153,368.153,853.938,0.000,1
4.6-tally-Dw+dTilde,6854.514,6950.363,0.000,0.000,346.813,358.377,2709.751,2950.562,2692.633,4
4.7-tally-vote-weight-product,911.653,1136.560,0.000,0.000,345.322,40.295,387.205,2950.562,991.367,1
5-threshold-decrypt-verify,19.818,40.307,13.337,20.192,12.967,4.568,4.568,2949.875,0.000,2
