experiment_id,parameter_id,metric,samples,median,min,max
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:4.1-aggregate-initialization:cpu_ms,3,7900.128,7869.507,7906.297
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:4.1-aggregate-initialization:wall_ms,3,7558.857,7474.08,7572.462
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:4.1-estimated-full-server-aggregation:cpu_ms,3,630729.875,622880.455,642525.165
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:4.1-estimated-full-server-aggregation:wall_ms,3,622544.473,614827.111,634868.107
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:4.1-server-aggregation:cpu_ms,3,126145.975,124576.091,128505.033
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:4.1-server-aggregation:wall_ms,3,124508.894,122965.422,126973.621
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:4.1-simulated-client-input-preparation:cpu_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:4.1-simulated-client-input-preparation:wall_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:multiparty:galois-key-generation:cpu_ms,3,15081.287,15049.646,15185.277
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:multiparty:galois-key-generation:wall_ms,3,14764.644,14715.551,14854.892
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:multiparty:public-key-generation:cpu_ms,3,55.781,54.206,56.372
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:multiparty:public-key-generation:wall_ms,3,41.978,41.076,44.614
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:multiparty:relinearization-key-generation:cpu_ms,3,841.825,829.253,845.914
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:multiparty:relinearization-key-generation:wall_ms,3,804.27,794.207,810.69
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:multiparty:threshold-decryption:cpu_ms,3,43.4,43.367,47.886
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,component:multiparty:threshold-decryption:wall_ms,3,28.414,28.413,31.374
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,multiparty_tally_wall_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:1-init-random-inputs:cpu_ms,3,33.182,29.762,43.254
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:1-init-random-inputs:multiparty_cpu_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:1-init-random-inputs:multiparty_wall_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:1-init-random-inputs:wall_ms,3,15.412,15.328,22.448
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:2-bgv-setup:cpu_ms,3,16079.794,16050.434,16178.439
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:2-bgv-setup:multiparty_cpu_ms,3,15966.912,15951.341,16081.308
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:2-bgv-setup:multiparty_wall_ms,3,15600.829,15570.856,15700.239
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:2-bgv-setup:wall_ms,3,15688.616,15648.981,15775.014
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:3-pre-election-weight-input-preparation:cpu_ms,3,801.951,711.41,819.241
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:3-pre-election-weight-input-preparation:multiparty_cpu_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:3-pre-election-weight-input-preparation:multiparty_wall_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:3-pre-election-weight-input-preparation:wall_ms,3,713.907,701.509,731.955
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:3.1-benchmark-input-fixture-preparation:cpu_ms,3,53.329,51.445,54.221
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:3.1-benchmark-input-fixture-preparation:multiparty_cpu_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:3.1-benchmark-input-fixture-preparation:multiparty_wall_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:3.1-benchmark-input-fixture-preparation:wall_ms,3,39.377,39.104,39.689
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.1-streamed-input-reception-and-aggregation:cpu_ms,3,134662.855,133100.487,136992.36800000002
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.1-streamed-input-reception-and-aggregation:multiparty_cpu_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.1-streamed-input-reception-and-aggregation:multiparty_wall_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.1-streamed-input-reception-and-aggregation:wall_ms,3,133271.11899999998,131778.094,135650.862
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.2-tally-periodic-echo-sequential:cpu_ms,3,26334.766,26140.595999999998,26756.989999999998
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.2-tally-periodic-echo-sequential:multiparty_cpu_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.2-tally-periodic-echo-sequential:multiparty_wall_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.2-tally-periodic-echo-sequential:wall_ms,3,26091.544,25877.216,26478.902
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.3-tally-lagrange-indicator:cpu_ms,3,22877.86,22686.813,23071.201
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.3-tally-lagrange-indicator:multiparty_cpu_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.3-tally-lagrange-indicator:multiparty_wall_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.3-tally-lagrange-indicator:wall_ms,3,22568.522,22358.9,22757.582
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.4-tally-delegate-support:cpu_ms,3,18745.524,18649.514,18746.173
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.4-tally-delegate-support:multiparty_cpu_ms,3,0.0,0.0,0.0
n100000-b5-k5-sequential-none,b1d8fa4762e7dddebacf9de75c7e21d7126a3a6f2d05e0111d709cbfc71741d6,phase:4.4-tally-delegate-support:multiparty_wall_ms,3,0.0,0.0,0.0
