phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,25.093,38.563,0.000,0.000,2.084,9.607,9.607,22.188,0.000,3
2-bgv-setup,15950.432,16341.025,15877.887,16246.117,9.634,1881.266,2462.556,2926.594,2500.012,18
3-pre-election-weight-input-preparation,677.870,786.318,0.000,0.000,1161.143,1298.432,2040.369,2926.406,2924.043,1
3.1-benchmark-input-fixture-preparation,40.105,53.943,0.000,0.000,1289.379,1300.420,1300.420,2926.281,0.000,1
4.1-streamed-input-reception-and-aggregation,127951.610,128978.549,0.000,0.000,1297.380,1489.529,1521.123,2926.594,1535.406,2
4.2-tally-periodic-echo-tree,356.935,363.223,0.000,0.000,1489.539,1556.315,1668.152,2926.594,1710.676,1
4.1-streamed-input-reception-and-aggregation,1456.185,1473.527,0.000,0.000,1553.536,1752.603,1752.603,2926.562,1727.984,1
4.2-tally-periodic-echo-tree,23393.106,23640.790,0.000,0.000,1745.576,1846.488,3024.056,3086.000,3043.156,1
4.1-streamed-input-reception-and-aggregation,1571.554,1689.036,0.000,0.000,1809.645,2008.682,3072.375,3086.500,3092.320,1
4.2-tally-periodic-echo-tree,23315.110,23564.559,0.000,0.000,2001.652,1847.722,3281.478,3342.188,3301.238,1
4.1-streamed-input-reception-and-aggregation,1521.991,1657.998,0.000,0.000,1809.634,2008.704,2008.704,3342.500,3127.801,1
4.2-tally-periodic-echo-tree,298.742,300.478,0.000,0.000,2001.675,2067.947,2067.947,3342.156,0.000,1
4.1-streamed-input-reception-and-aggregation,1517.760,1532.431,0.000,0.000,2065.671,2264.739,2264.739,3342.469,2285.098,1
4.2-tally-periodic-echo-tree,46611.902,47187.981,0.000,0.000,2257.711,1845.287,4486.537,4530.438,4537.387,2
4.3-tally-lagrange-indicator,21299.391,21791.173,0.000,0.000,1413.232,1517.993,2286.970,4530.438,2372.078,1
4.4-tally-delegate-support,17881.011,18166.332,0.000,0.000,1476.897,1544.280,1794.548,4530.438,1816.383,1
4.5-tally-dTilde,6267.186,6361.280,0.000,0.000,1416.904,1382.748,1721.777,4530.438,1746.715,1
4.6-tally-Dw+dTilde,35019.774,35433.938,0.000,0.000,1320.647,1399.277,15090.414,15334.375,14519.801,4
4.7-tally-vote-weight-product,8273.371,9218.587,0.000,0.000,1316.711,162.876,1771.082,15334.406,11377.922,1
5-threshold-decrypt-verify,38.832,60.301,30.233,46.342,36.784,14.573,14.573,15334.344,0.000,1
