phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,0.477,0.476,0.000,0.000,2.084,2.035,2.035,14.188,0.000,1
2-bgv-setup,15117.740,15457.977,15045.812,15359.578,2.040,1873.625,2555.184,2666.594,2678.020,22
3-pre-election-weight-input-preparation,54.958,68.052,0.000,0.000,1153.510,1170.815,1170.815,2666.094,0.000,1
4.1-streamed-input-reception-and-aggregation,22794.962,23138.918,0.000,0.000,1162.013,1181.118,2320.430,2666.594,2352.387,3
4.2-tally-periodic-echo-sequential,31.526,43.523,0.000,0.000,1174.091,1180.323,1374.902,2666.594,2323.773,1
4.1-streamed-input-reception-and-aggregation,22677.959,23015.028,0.000,0.000,1178.047,1197.108,2320.589,2666.562,2425.051,3
4.2-tally-periodic-echo-sequential,376.505,484.442,0.000,0.000,1190.080,1213.641,1253.841,2666.531,1354.984,1
4.1-streamed-input-reception-and-aggregation,22480.458,22735.020,0.000,0.000,1178.066,1197.106,2302.513,2666.500,2430.691,3
4.2-tally-periodic-echo-sequential,419.130,525.227,0.000,0.000,1190.107,1213.668,1253.913,2666.500,1328.508,1
4.1-streamed-input-reception-and-aggregation,22601.456,22849.572,0.000,0.000,1178.093,1197.904,2302.392,2666.500,2429.816,3
4.2-tally-periodic-echo-sequential,428.147,519.278,0.000,0.000,1190.128,1214.191,1254.440,2666.500,1329.395,1
4.1-streamed-input-reception-and-aggregation,22397.742,22636.291,0.000,0.000,1178.115,1197.149,2316.173,2666.500,2432.457,3
4.2-tally-periodic-echo-sequential,389.287,520.450,0.000,0.000,1190.149,1213.709,1213.709,2666.438,0.000,1
4.3-tally-lagrange-indicator,1344.512,1363.236,0.000,0.000,1165.391,1208.719,1247.557,2666.500,1302.672,1
4.4-tally-delegate-support,1214.647,1223.301,0.000,0.000,1169.130,1235.486,1239.515,2666.469,1302.676,1
4.5-tally-dTilde,426.167,429.177,0.000,0.000,1169.131,1225.006,1225.006,2666.469,0.000,1
4.6-tally-Dw+dTilde,1470.455,1482.371,0.000,0.000,1162.913,1180.941,1582.382,2666.469,1580.195,1
4.7-tally-vote-weight-product,1515.765,1583.566,0.000,0.000,1158.882,95.235,1253.434,2666.469,1293.277,1
5-threshold-decrypt-verify,40.391,69.512,32.614,57.935,28.965,6.685,6.685,2666.219,0.000,2
