phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,0.390,0.388,0.000,0.000,2.083,2.079,2.079,10.312,0.000,1
2-bgv-setup,15345.463,15689.157,15274.637,15598.683,2.084,1873.164,2414.372,2650.594,2664.281,22
3-pre-election-weight-input-preparation,49.391,61.448,0.000,0.000,1153.049,1170.354,1170.354,2650.406,0.000,1
4.1-streamed-input-reception-and-aggregation,56501.458,57222.673,0.000,0.000,1161.552,1181.403,2293.326,2650.562,2397.219,6
4.2-tally-periodic-echo-tree,16.269,22.109,0.000,0.000,1173.624,1179.888,1179.888,2650.562,0.000,1
4.1-streamed-input-reception-and-aggregation,56655.699,57361.126,0.000,0.000,1177.613,1196.709,2398.664,2650.562,2431.793,6
4.2-tally-periodic-echo-tree,1508.007,1615.576,0.000,0.000,1189.681,1227.744,1300.339,2650.531,1328.133,1
4.1-streamed-input-reception-and-aggregation,55885.574,56497.803,0.000,0.000,1193.670,1212.745,2379.538,2650.500,2464.531,6
4.2-tally-periodic-echo-tree,1470.840,1569.495,0.000,0.000,1205.745,1227.806,1292.304,2650.500,1346.297,1
4.1-streamed-input-reception-and-aggregation,54774.844,55369.702,0.000,0.000,1193.731,1213.295,2429.826,2650.500,2465.277,6
4.2-tally-periodic-echo-tree,14.447,22.168,0.000,0.000,1205.796,1212.060,1212.060,2650.219,0.000,1
4.1-streamed-input-reception-and-aggregation,54881.635,55575.667,0.000,0.000,1209.783,1229.626,2424.609,2650.500,2494.727,5
4.2-tally-periodic-echo-tree,2787.069,2901.501,0.000,0.000,1221.844,1227.905,1397.612,2650.500,1419.180,1
4.3-tally-lagrange-indicator,1291.668,1314.890,0.000,0.000,1165.084,1206.909,1241.859,2650.469,1302.543,1
4.4-tally-delegate-support,1546.306,1563.107,0.000,0.000,1168.822,1233.721,1237.943,2650.469,1302.543,1
4.5-tally-dTilde,427.526,430.313,0.000,0.000,1168.856,1223.165,1252.980,2650.344,1302.543,1
4.6-tally-Dw+dTilde,3252.169,3293.035,0.000,0.000,1162.573,1180.101,2215.914,2650.469,2143.359,2
4.7-tally-vote-weight-product,1547.629,1632.577,0.000,0.000,1158.584,93.247,1248.323,2650.469,1293.453,1
5-threshold-decrypt-verify,39.334,69.083,30.393,55.583,28.667,6.891,6.891,2650.500,0.000,2
