phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,5.652,10.256,0.000,0.000,2.090,2.752,2.752,10.531,0.000,2
2-bgv-setup,15545.031,15873.425,15469.489,15771.445,2.779,1874.341,2507.953,2714.594,2646.625,21
3-pre-election-weight-input-preparation,61.771,79.664,0.000,0.000,1154.253,1171.558,1171.558,2714.438,0.000,1
4.1-streamed-input-reception-and-aggregation,549344.914,555584.835,0.000,0.000,1162.756,1183.116,2376.350,2714.594,2406.805,52
4.2-tally-periodic-echo-sequential,19.782,26.494,0.000,0.000,1175.326,1181.558,1710.531,2714.188,2360.391,1
4.1-streamed-input-reception-and-aggregation,545338.915,552181.000,0.000,0.000,1179.282,1200.344,2406.566,2714.469,2441.551,51
4.2-tally-periodic-echo-sequential,400.035,477.505,0.000,0.000,1191.813,1215.373,1215.373,2714.188,0.000,1
4.1-streamed-input-reception-and-aggregation,544727.472,551879.739,0.000,0.000,1179.798,1202.100,2409.248,2714.375,2442.457,51
4.2-tally-periodic-echo-sequential,390.028,469.051,0.000,0.000,1192.315,1215.876,1258.472,2714.375,1335.816,1
4.1-streamed-input-reception-and-aggregation,546761.092,553999.642,0.000,0.000,1180.301,1202.068,2409.321,2714.375,2442.996,51
4.2-tally-periodic-echo-sequential,390.113,469.237,0.000,0.000,1192.785,1216.346,1216.346,2714.312,2332.301,1
4.1-streamed-input-reception-and-aggregation,547721.806,555240.616,0.000,0.000,1180.771,1200.233,2412.833,2714.312,2445.508,52
4.2-tally-periodic-echo-sequential,371.529,416.779,0.000,0.000,1193.234,1216.794,1216.794,2714.031,0.000,1
4.3-tally-lagrange-indicator,1332.372,1388.218,0.000,0.000,1168.476,1211.804,1266.813,2714.281,1311.309,1
4.4-tally-delegate-support,1443.319,1504.786,0.000,0.000,1172.214,1238.573,1246.561,2714.281,1311.312,1
4.5-tally-dTilde,423.978,428.959,0.000,0.000,1172.215,1228.058,1228.058,2714.281,1311.316,1
4.6-tally-Dw+dTilde,27956.358,28241.405,0.000,0.000,1165.966,1184.299,11647.600,11690.000,11320.586,4
4.7-tally-vote-weight-product,1570.806,2312.866,0.000,0.000,1161.988,98.402,1253.863,11690.250,6420.484,1
5-threshold-decrypt-verify,47.839,85.681,35.646,67.547,32.101,9.796,101.329,11690.250,1203.031,2
