experiment_id,strategy,execution_mode,run_kind,repetition,status,exit_code,elapsed_seconds,run_directory,log,parameter_id,workload_seed,process_peak_rss_mib
n50000-b5-k5-tree-none,tree-none,benchmark,warmup,0,passed,0,190.47094237687998,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_085932_n50000_b5_k5_T5_3939343764,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-tree-none-warmup-0.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n50000-b5-k5-warmup-0,14553.515625
n50000-b5-k5-tree-none,tree-none,benchmark,measured,0,passed,0,193.63541585905477,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_090243_n50000_b5_k5_T5_822060386,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-tree-none-measured-0.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n50000-b5-k5-measured-0,14551.8359375
n50000-b5-k5-tree-none,tree-none,benchmark,measured,1,passed,0,187.24602467590012,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_090556_n50000_b5_k5_T5_1384126765,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-tree-none-measured-1.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n50000-b5-k5-measured-1,14551.16796875
n50000-b5-k5-tree-none,tree-none,benchmark,measured,2,passed,0,191.8543157109525,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_090903_n50000_b5_k5_T5_2566239740,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-tree-none-measured-2.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n50000-b5-k5-measured-2,14548
n50000-b5-k5-sequential-none,sequential-none,benchmark,warmup,0,passed,0,159.45606259908527,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_091215_n50000_b5_k5_T5_2013813278,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-sequential-none-warmup-0.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n50000-b5-k5-warmup-0,14555.78125
n50000-b5-k5-sequential-none,sequential-none,benchmark,measured,0,passed,0,158.09513080096804,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_091455_n50000_b5_k5_T5_493663272,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-sequential-none-measured-0.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n50000-b5-k5-measured-0,14555.1171875
n50000-b5-k5-sequential-none,sequential-none,benchmark,measured,1,passed,0,157.7134149959311,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_091733_n50000_b5_k5_T5_2728985147,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-sequential-none-measured-1.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n50000-b5-k5-measured-1,14554.87890625
n50000-b5-k5-sequential-none,sequential-none,benchmark,measured,2,passed,0,160.18846022011712,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_092011_n50000_b5_k5_T5_59494933,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-sequential-none-measured-2.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n50000-b5-k5-measured-2,14551.796875
n50000-b5-k5-tree-final,tree-final,benchmark,warmup,0,passed,0,83.74195891316049,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_092251_n50000_b5_k5_T5_1739844586,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-tree-final-warmup-0.log,1242385df7cfd755c11980c2d21b7ec069d6f02cbf41ecee2a2a76d347c6afbf,v1-n50000-b5-k5-warmup-0,2946.890625
n50000-b5-k5-tree-final,tree-final,benchmark,measured,0,passed,0,83.32648768415675,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_092414_n50000_b5_k5_T5_1895821196,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-tree-final-measured-0.log,1242385df7cfd755c11980c2d21b7ec069d6f02cbf41ecee2a2a76d347c6afbf,v1-n50000-b5-k5-measured-0,2947.2265625
n50000-b5-k5-tree-final,tree-final,benchmark,measured,1,passed,0,84.50832580402493,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_092538_n50000_b5_k5_T5_4134872251,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-tree-final-measured-1.log,1242385df7cfd755c11980c2d21b7ec069d6f02cbf41ecee2a2a76d347c6afbf,v1-n50000-b5-k5-measured-1,2949.9609375
n50000-b5-k5-tree-final,tree-final,benchmark,measured,2,passed,0,83.4413976939395,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_092702_n50000_b5_k5_T5_404174252,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-tree-final-measured-2.log,1242385df7cfd755c11980c2d21b7ec069d6f02cbf41ecee2a2a76d347c6afbf,v1-n50000-b5-k5-measured-2,2948.92578125
n50000-b5-k5-sequential-final,sequential-final,benchmark,warmup,0,passed,0,61.98516264487989,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_092826_n50000_b5_k5_T5_2024970375,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-sequential-final-warmup-0.log,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,v1-n50000-b5-k5-warmup-0,2949.98046875
n50000-b5-k5-sequential-final,sequential-final,benchmark,measured,0,passed,0,63.05048205098137,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_092928_n50000_b5_k5_T5_3776367331,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-sequential-final-measured-0.log,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,v1-n50000-b5-k5-measured-0,2946.08984375
n50000-b5-k5-sequential-final,sequential-final,benchmark,measured,1,passed,0,63.20304816402495,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_093031_n50000_b5_k5_T5_2489004921,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-sequential-final-measured-1.log,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,v1-n50000-b5-k5-measured-1,2947.1640625
n50000-b5-k5-sequential-final,sequential-final,benchmark,measured,2,passed,0,63.38154981401749,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/raw/20260909_093134_n50000_b5_k5_T5_2203943390,/home/mbotelho/coercion_resistant_voting/experiments/results/n50000-bcz524yp/logs/n50000-b5-k5-sequential-final-measured-2.log,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,v1-n50000-b5-k5-measured-2,2947.53125
