phase,op,count
3-pre-election-weight-input-preparation,Encode,9
3-pre-election-weight-input-preparation,EncryptNew,8
3-pre-election-weight-input-preparation,MulNew,8
3.1-benchmark-input-fixture-preparation,EncodeInputFixture,1
3.1-benchmark-input-fixture-preparation,EncryptInputFixture,1
4.1-streamed-input-reception-and-aggregation,Add,150000
4.1-streamed-input-reception-and-aggregation,Encode,5
4.1-streamed-input-reception-and-aggregation,EncryptNew,120
4.2-tally-periodic-echo-tree,AddNew,336
4.2-tally-periodic-echo-tree,MulNew,80
4.2-tally-periodic-echo-tree,MulRelinNew,256
4.3-tally-lagrange-indicator,Add (poly-est),80
4.3-tally-lagrange-indicator,MulRelinNew (poly-est),80
4.3-tally-lagrange-indicator,PolyEvaluate,16
4.4-tally-delegate-support,Add,7
4.4-tally-delegate-support,AddNew,8
4.4-tally-delegate-support,Encode,1
4.4-tally-delegate-support,MulNew,1
4.4-tally-delegate-support,MulRelinNew,8
4.4-tally-delegate-support,RotateAndAdd,8
4.4-tally-delegate-support,RotateRowsNew,8
4.5-tally-dTilde,AddNew,8
4.5-tally-dTilde,MulNew,8
4.5-tally-dTilde,MulRelinNew,8
4.5-tally-dTilde,RotateAndAdd,8
4.6-tally-Dw+dTilde,Add,5
4.6-tally-Dw+dTilde,AddNew,8
4.6-tally-Dw+dTilde,Encode,6552
4.6-tally-Dw+dTilde,MulNew,5
4.6-tally-Dw+dTilde,RotateColumnsNew,5
4.7-tally-vote-weight-product,Add,39
4.7-tally-vote-weight-product,AddNew,1
4.7-tally-vote-weight-product,MulRelinNew,8
4.7-tally-vote-weight-product,RotateAndAdd,1
4.7-tally-vote-weight-product,RotateColumnsNew,32
4.7-tally-vote-weight-product,RotateRowsNew,1
5-threshold-decrypt-verify,Decode,1
5-threshold-decrypt-verify,DecryptNew,1
