phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,8.736,16.781,0.000,0.000,2.084,5.794,5.794,18.531,0.000,2
2-bgv-setup,4269.114,4459.545,4229.456,4403.243,5.821,534.756,646.623,794.656,762.754,17
3-pre-election-weight-input-preparation,241.838,275.214,0.000,0.000,335.205,386.898,386.898,794.031,0.000,1
3.1-benchmark-input-fixture-preparation,14.824,18.701,0.000,0.000,383.344,387.635,387.635,794.062,0.000,1
4.1-streamed-input-reception-and-aggregation,24205.653,24388.728,0.000,0.000,386.846,461.688,467.503,794.656,480.266,1
4.2-tally-periodic-echo-tree,120.788,121.438,0.000,0.000,458.911,483.807,483.807,794.531,0.000,1
4.1-streamed-input-reception-and-aggregation,555.987,568.218,0.000,0.000,482.906,557.717,557.717,794.625,545.984,1
4.2-tally-periodic-echo-tree,6824.566,6883.101,0.000,0.000,554.941,592.399,1031.099,1062.562,1045.137,1
4.1-streamed-input-reception-and-aggregation,556.880,621.714,0.000,0.000,578.944,653.755,653.755,1061.812,0.000,1
4.2-tally-periodic-echo-tree,7187.572,7255.480,0.000,0.000,650.978,592.282,1139.463,1162.156,1155.352,1
4.1-streamed-input-reception-and-aggregation,594.090,669.110,0.000,0.000,578.952,653.763,653.763,1162.562,0.000,1
4.2-tally-periodic-echo-tree,109.144,109.659,0.000,0.000,650.987,675.883,675.883,1162.094,0.000,1
4.1-streamed-input-reception-and-aggregation,570.758,577.270,0.000,0.000,674.981,749.793,749.793,1162.562,759.996,1
4.2-tally-periodic-echo-tree,13842.139,13987.593,0.000,0.000,747.016,591.912,1450.623,1502.531,1507.699,2
4.2-tally-periodic-echo-tree,1306.721,1429.700,1306.192,1429.505,429.680,441.856,813.462,1502.531,832.082,2
4.3-tally-lagrange-indicator,6322.553,6429.346,0.000,0.000,429.671,467.898,711.724,1502.531,731.426,1
4.4-tally-delegate-support,4964.948,5039.578,0.000,0.000,453.590,476.542,556.320,1502.531,753.902,1
4.5-tally-dTilde,1932.477,1968.657,0.000,0.000,431.055,416.267,502.650,1502.531,519.379,1
4.6-tally-Dw+dTilde,6807.291,6932.728,0.000,0.000,394.924,424.500,2658.851,2990.500,2692.629,4
4.7-tally-vote-weight-product,2424.627,2636.285,0.000,0.000,393.439,61.408,561.551,2990.562,1348.855,1
5-threshold-decrypt-verify,25.565,38.600,21.495,33.113,16.073,7.702,7.702,2989.969,0.000,1
