name,count,each_bytes,total_mib,notes
D_matrix,50000,40,1.907,n rows of k uint64 (one-hot)
q_vector,1,400000,0.381,flat n uint64 voting power
rlk,1,11011024,10.501,
galois_keys,48,11011040,504.045,
galois_elements,48,8,0.000,uint64 indices fed to GenGaloisKeysNew
qExtCiphertexts,16,1573262,24.006,each_bytes is mean across slice
qBaseCiphertexts,16,1573262,24.006,each_bytes is mean across slice
benchmarkInputFixtures,1,1573262,1.500,each_bytes is mean across slice
candidatePeriodInputs/p0,16,1573262,24.006,each_bytes is mean across slice
sharedMaskCiphertexts/p0,16,1573262,24.006,each_bytes is mean across slice
delegationPeriodInputs/p0,16,1573262,24.006,each_bytes is mean across slice
candidatePeriodInputs/p1,16,1573262,24.006,each_bytes is mean across slice
sharedMaskCiphertexts/p1,16,1573262,24.006,each_bytes is mean across slice
delegationPeriodInputs/p1,16,1573262,24.006,each_bytes is mean across slice
candidatePeriodInputs/p2,16,1573262,24.006,each_bytes is mean across slice
sharedMaskCiphertexts/p2,16,1573262,24.006,each_bytes is mean across slice
delegationPeriodInputs/p2,16,1573262,24.006,each_bytes is mean across slice
candidatePeriodInputs/p3,16,1573262,24.006,each_bytes is mean across slice
sharedMaskCiphertexts/p3,16,1573262,24.006,each_bytes is mean across slice
delegationPeriodInputs/p3,16,1573262,24.006,each_bytes is mean across slice
candidatePeriodInputs/p4,16,1573262,24.006,each_bytes is mean across slice
sharedMaskCiphertexts/p4,16,1573262,24.006,each_bytes is mean across slice
delegationPeriodInputs/p4,16,1573262,24.006,each_bytes is mean across slice
sampled_input_ciphertexts,150000,1573262,225056.934,benchmark sample count only; not a communication estimate
vCiphertexts,16,1573262,24.006,each_bytes is mean across slice
dCiphertexts,16,1573262,24.006,each_bytes is mean across slice
dWeighted,16,1573262,24.006,each_bytes is mean across slice
ctDelegateSupport,1,1573262,1.500,each_bytes is mean across slice
dTildeCiphertexts,16,1573262,24.006,each_bytes is mean across slice
dwCiphertexts,16,1573262,24.006,each_bytes is mean across slice
voterWeightCiphertexts,16,1573262,24.006,each_bytes is mean across slice
voterWeightExpanded,16,1573262,24.006,each_bytes is mean across slice
ctResult,1,1573262,1.500,each_bytes is mean across slice
