phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,64.248,97.078,0.000,0.000,2.083,40.134,40.134,62.250,0.000,3
2-bgv-setup,15687.696,16305.281,15598.486,16215.091,40.161,1911.713,2522.550,2846.625,2849.383,15
3-pre-election-weight-input-preparation,3262.623,3374.664,0.000,0.000,1191.626,1817.772,1982.248,2846.625,2069.418,1
3.1-benchmark-input-fixture-preparation,39.807,50.700,0.000,0.000,1807.965,1819.006,1819.006,2846.125,0.000,1
4.1-streamed-input-reception-and-aggregation,617211.223,622220.290,0.000,0.000,1831.223,2755.904,2809.213,2846.594,2822.453,6
4.2-tally-periodic-echo-tree,1407.353,1417.717,0.000,0.000,2755.910,3066.218,3235.435,4013.938,3280.133,1
4.1-streamed-input-reception-and-aggregation,7100.712,7277.097,0.000,0.000,3063.941,3995.641,3995.641,4022.312,3904.273,1
4.2-tally-periodic-echo-tree,114040.145,115737.161,0.000,0.000,3988.144,4336.328,7909.836,7966.469,7977.617,2
4.1-streamed-input-reception-and-aggregation,7410.990,7772.984,0.000,0.000,4296.229,5228.405,5228.405,7966.469,5222.492,1
4.2-tally-periodic-echo-tree,113388.774,115095.724,0.000,0.000,5220.369,4333.202,10417.080,10450.438,10463.973,2
4.1-streamed-input-reception-and-aggregation,7337.312,7842.281,0.000,0.000,4296.328,5228.001,5228.001,10450.438,5230.176,1
4.2-tally-periodic-echo-tree,1333.789,1343.267,0.000,0.000,5220.470,5530.777,5712.378,10450.438,5786.145,1
4.1-streamed-input-reception-and-aggregation,7127.303,7258.658,0.000,0.000,5528.500,6460.715,6460.715,10450.438,6383.316,1
4.2-tally-periodic-echo-tree,225268.593,228931.166,0.000,0.000,6452.641,4337.156,12895.824,12922.406,12940.469,2
4.3-tally-lagrange-indicator,102486.805,104937.803,0.000,0.000,2420.566,2771.569,4804.953,12922.406,8073.527,2
4.4-tally-delegate-support,85174.337,86847.686,0.000,0.000,2728.515,2797.369,4100.086,12922.406,4134.195,1
4.5-tally-dTilde,29966.553,30616.481,0.000,0.000,2424.441,2025.511,3739.766,12922.406,3775.129,1
4.6-tally-Dw+dTilde,35388.469,35999.730,0.000,0.000,1962.154,2284.528,15280.751,16042.438,15193.656,4
4.7-tally-vote-weight-product,35470.925,37041.664,0.000,0.000,1958.179,414.264,3882.089,16042.438,13611.574,2
5-threshold-decrypt-verify,40.793,62.570,32.395,49.566,68.191,45.941,45.941,16042.250,0.000,1
