phase,op,count
3-pre-election-weight-input-preparation,Encode,78
3-pre-election-weight-input-preparation,EncryptNew,77
3-pre-election-weight-input-preparation,MulNew,77
3.1-benchmark-input-fixture-preparation,EncodeInputFixture,1
3.1-benchmark-input-fixture-preparation,EncryptInputFixture,1
4.1-streamed-input-reception-and-aggregation,Add,1500000
4.1-streamed-input-reception-and-aggregation,Encode,5
4.1-streamed-input-reception-and-aggregation,EncryptNew,1155
4.2-tally-periodic-echo-sequential,Add,616
4.2-tally-periodic-echo-sequential,AddNew,1386
4.2-tally-periodic-echo-sequential,MulNew,770
4.2-tally-periodic-echo-sequential,MulRelinNew,616
4.3-tally-lagrange-indicator,Add (poly-est),770
4.3-tally-lagrange-indicator,MulRelinNew (poly-est),770
4.3-tally-lagrange-indicator,PolyEvaluate,154
4.4-tally-delegate-support,Add,76
4.4-tally-delegate-support,AddNew,77
4.4-tally-delegate-support,Encode,1
4.4-tally-delegate-support,MulNew,1
4.4-tally-delegate-support,MulRelinNew,77
4.4-tally-delegate-support,RotateAndAdd,77
4.4-tally-delegate-support,RotateRowsNew,77
4.5-tally-dTilde,AddNew,77
4.5-tally-dTilde,MulNew,77
4.5-tally-dTilde,MulRelinNew,77
4.5-tally-dTilde,RotateAndAdd,77
4.6-tally-Dw+dTilde,Add,5
4.6-tally-Dw+dTilde,AddNew,77
4.6-tally-Dw+dTilde,Encode,6552
4.6-tally-Dw+dTilde,MulNew,5
4.6-tally-Dw+dTilde,RotateColumnsNew,5
4.7-tally-vote-weight-product,Add,384
4.7-tally-vote-weight-product,AddNew,1
4.7-tally-vote-weight-product,MulRelinNew,77
4.7-tally-vote-weight-product,RotateAndAdd,1
4.7-tally-vote-weight-product,RotateColumnsNew,308
4.7-tally-vote-weight-product,RotateRowsNew,1
5-threshold-decrypt-verify,Decode,1
5-threshold-decrypt-verify,DecryptNew,1
