experiment_id,parameter_id,metric,samples,median,min,max
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:4.1-aggregate-initialization:cpu_ms,3,577.447,571.91,593.19
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:4.1-aggregate-initialization:wall_ms,3,501.595,498.386,508.699
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:4.1-server-aggregation:cpu_ms,3,11219.518,9678.632,11410.839
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:4.1-server-aggregation:wall_ms,3,11126.478,9626.958,11315.132
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:4.1-simulated-client-input-preparation:cpu_ms,3,542803.677,534644.266,546221.706
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:4.1-simulated-client-input-preparation:wall_ms,3,536305.381,528167.177,539936.956
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:multiparty:galois-key-generation:cpu_ms,3,14886.257,14157.791,15163.258
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:multiparty:galois-key-generation:wall_ms,3,14605.927,13872.653,14893.535
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:multiparty:public-key-generation:cpu_ms,3,52.204,49.843,52.595
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:multiparty:public-key-generation:wall_ms,3,44.734,43.7,45.544
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:multiparty:relinearization-key-generation:cpu_ms,3,831.105,814.518,836.394
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:multiparty:relinearization-key-generation:wall_ms,3,799.257,785.369,807.055
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:multiparty:threshold-decryption:cpu_ms,3,49.241,46.48,53.331
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,component:multiparty:threshold-decryption:wall_ms,3,28.199,26.315,29.427
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,multiparty_tally_wall_ms,3,0.0,0.0,0.0
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:1-init-random-inputs:cpu_ms,3,1.697,0.933,2.18
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:1-init-random-inputs:multiparty_cpu_ms,3,0.0,0.0,0.0
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:1-init-random-inputs:multiparty_wall_ms,3,0.0,0.0,0.0
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:1-init-random-inputs:wall_ms,3,1.579,0.874,2.083
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:2-bgv-setup:cpu_ms,3,15874.275,15124.88,16144.957
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:2-bgv-setup:multiparty_cpu_ms,3,15769.566,15024.904,16049.495
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:2-bgv-setup:multiparty_wall_ms,3,15449.92,14703.567,15744.291
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:2-bgv-setup:wall_ms,3,15531.476,14778.409,15817.048
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:3-pre-election-weight-input-preparation:cpu_ms,3,69.805,68.092,73.077
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:3-pre-election-weight-input-preparation:multiparty_cpu_ms,3,0.0,0.0,0.0
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:3-pre-election-weight-input-preparation:multiparty_wall_ms,3,0.0,0.0,0.0
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:3-pre-election-weight-input-preparation:wall_ms,3,54.395,49.805,54.666
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.1-streamed-input-reception-and-aggregation:cpu_ms,3,554726.474,546747.466,556576.303
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.1-streamed-input-reception-and-aggregation:multiparty_cpu_ms,3,0.0,0.0,0.0
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.1-streamed-input-reception-and-aggregation:multiparty_wall_ms,3,0.0,0.0,0.0
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.1-streamed-input-reception-and-aggregation:wall_ms,3,548196.356,540260.625,550320.837
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.2-tally-periodic-echo-sequential:cpu_ms,3,2030.874,1905.891,2050.401
n1000-b5-k5-sequential-none,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,phase:4.2-tally-periodic-echo-sequential:multiparty_cpu_ms,3,0.0,0.0,0.0
