phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,0.874,0.933,0.000,0.000,2.089,2.157,2.157,14.250,0.000,1
2-bgv-setup,15817.048,16144.957,15744.291,16049.495,2.157,1873.748,2583.046,2926.281,2553.879,22
3-pre-election-weight-input-preparation,54.395,69.805,0.000,0.000,1153.633,1170.938,1170.938,2926.562,0.000,1
4.1-streamed-input-reception-and-aggregation,112833.009,114112.583,0.000,0.000,1162.136,1181.297,2333.724,2926.562,2403.746,11
4.2-tally-periodic-echo-sequential,19.869,27.633,0.000,0.000,1174.267,1180.531,1180.531,2926.531,0.000,1
4.1-streamed-input-reception-and-aggregation,109529.800,110747.958,0.000,0.000,1178.255,1197.373,2392.069,2926.531,2436.574,11
4.2-tally-periodic-echo-sequential,396.642,484.810,0.000,0.000,1190.374,1213.934,1213.934,2926.188,0.000,1
4.1-streamed-input-reception-and-aggregation,109347.602,110606.255,0.000,0.000,1178.359,1198.273,2404.048,2926.500,2434.383,11
4.2-tally-periodic-echo-sequential,397.641,468.173,0.000,0.000,1190.495,1214.054,1214.054,2926.312,0.000,1
4.1-streamed-input-reception-and-aggregation,109503.875,110718.689,0.000,0.000,1178.480,1198.365,2400.258,2926.500,2439.379,11
4.2-tally-periodic-echo-sequential,396.940,468.768,0.000,0.000,1190.589,1214.149,1214.149,2926.031,0.000,1
4.1-streamed-input-reception-and-aggregation,109106.551,110390.818,0.000,0.000,1178.574,1197.676,2395.881,2926.438,2439.449,11
4.2-tally-periodic-echo-sequential,376.490,456.507,0.000,0.000,1190.682,1214.245,1255.215,2926.406,1332.652,1
4.3-tally-lagrange-indicator,1324.756,1333.559,0.000,0.000,1165.925,1209.250,1244.631,2926.406,1303.828,1
4.4-tally-delegate-support,1308.533,1331.331,0.000,0.000,1169.663,1236.021,1240.703,2926.406,1303.828,1
4.5-tally-dTilde,430.945,435.772,0.000,0.000,1169.664,1225.506,1225.506,2926.406,1303.828,1
4.6-tally-Dw+dTilde,5855.640,5905.395,0.000,0.000,1163.414,1181.489,3338.091,3370.375,3257.645,2
4.7-tally-vote-weight-product,1410.351,1549.035,0.000,0.000,1159.432,95.593,1250.499,3370.375,1296.008,1
5-threshold-decrypt-verify,35.793,60.993,28.199,49.241,29.512,7.234,7.234,3370.125,0.000,2
