experiment_id,strategy,execution_mode,run_kind,repetition,status,exit_code,elapsed_seconds,run_directory,log,parameter_id,workload_seed,process_peak_rss_mib
n10000-b5-k5-tree-none,tree-none,benchmark,warmup,0,passed,0,86.6537516338285,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_033630_n10000_b5_k5_T5_3173640372,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-tree-none-warmup-0.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n10000-b5-k5-warmup-0,14453.44140625
n10000-b5-k5-tree-none,tree-none,benchmark,measured,0,passed,0,85.2474140911363,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_033757_n10000_b5_k5_T5_1807603934,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-tree-none-measured-0.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n10000-b5-k5-measured-0,14455.40625
n10000-b5-k5-tree-none,tree-none,benchmark,measured,1,passed,0,85.52496788697317,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_033922_n10000_b5_k5_T5_2475286991,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-tree-none-measured-1.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n10000-b5-k5-measured-1,14456.78515625
n10000-b5-k5-tree-none,tree-none,benchmark,measured,2,passed,0,86.17252386291511,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_034047_n10000_b5_k5_T5_1610730989,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-tree-none-measured-2.log,aa670250a76f1efa9be5ca68b2b5b1dbb1ae5a042c72a8181daf5b221d8788c9,v1-n10000-b5-k5-measured-2,14454.9921875
n10000-b5-k5-sequential-none,sequential-none,benchmark,warmup,0,passed,0,76.91180149582215,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_034213_n10000_b5_k5_T5_2614308876,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-sequential-none-warmup-0.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n10000-b5-k5-warmup-0,14457.5859375
n10000-b5-k5-sequential-none,sequential-none,benchmark,measured,0,passed,0,77.20329289603978,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_034330_n10000_b5_k5_T5_211386903,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-sequential-none-measured-0.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n10000-b5-k5-measured-0,14456.25
n10000-b5-k5-sequential-none,sequential-none,benchmark,measured,1,passed,0,77.42440698994324,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_034448_n10000_b5_k5_T5_2018947547,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-sequential-none-measured-1.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n10000-b5-k5-measured-1,14452.7421875
n10000-b5-k5-sequential-none,sequential-none,benchmark,measured,2,passed,0,77.51948842499405,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_034605_n10000_b5_k5_T5_3649679588,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-sequential-none-measured-2.log,b6d32fd776351a6027da236e563922da498bf63e403203fc0a96688b1faba823,v1-n10000-b5-k5-measured-2,14458.0390625
n10000-b5-k5-tree-final,tree-final,benchmark,warmup,0,passed,0,28.784014055971056,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_034723_n10000_b5_k5_T5_292254690,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-tree-final-warmup-0.log,1242385df7cfd755c11980c2d21b7ec069d6f02cbf41ecee2a2a76d347c6afbf,v1-n10000-b5-k5-warmup-0,2874.05078125
n10000-b5-k5-tree-final,tree-final,benchmark,measured,0,passed,0,28.594741467852145,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_034751_n10000_b5_k5_T5_900814228,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-tree-final-measured-0.log,1242385df7cfd755c11980c2d21b7ec069d6f02cbf41ecee2a2a76d347c6afbf,v1-n10000-b5-k5-measured-0,2875.7265625
n10000-b5-k5-tree-final,tree-final,benchmark,measured,1,passed,0,28.938624914037064,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_034820_n10000_b5_k5_T5_1865271284,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-tree-final-measured-1.log,1242385df7cfd755c11980c2d21b7ec069d6f02cbf41ecee2a2a76d347c6afbf,v1-n10000-b5-k5-measured-1,2876.19921875
n10000-b5-k5-tree-final,tree-final,benchmark,measured,2,passed,0,28.879960543941706,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_034849_n10000_b5_k5_T5_1377433618,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-tree-final-measured-2.log,1242385df7cfd755c11980c2d21b7ec069d6f02cbf41ecee2a2a76d347c6afbf,v1-n10000-b5-k5-measured-2,2879.58203125
n10000-b5-k5-sequential-final,sequential-final,benchmark,warmup,0,passed,0,23.67144908104092,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/raw/20260909_034918_n10000_b5_k5_T5_4049471306,/home/mbotelho/coercion_resistant_voting/experiments/results/n10000-99lfe273/logs/n10000-b5-k5-sequential-final-warmup-0.log,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,v1-n10000-b5-k5-warmup-0,2878.05078125
