phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,3.319,3.630,0.000,0.000,2.084,2.772,2.772,10.562,0.000,1
2-bgv-setup,4261.134,4450.497,4214.882,4387.073,2.772,531.713,581.381,782.594,789.668,20
3-pre-election-weight-input-preparation,60.363,70.434,0.000,0.000,332.161,347.843,347.843,782.281,0.000,1
3.1-benchmark-input-fixture-preparation,14.303,16.736,0.000,0.000,344.290,348.581,348.581,782.219,0.000,1
4.1-streamed-input-reception-and-aggregation,4952.265,5028.435,0.000,0.000,346.292,367.224,369.923,782.594,395.824,1
4.2-tally-periodic-echo-tree,34.878,35.063,0.000,0.000,364.325,371.216,371.216,782.344,0.000,1
4.1-streamed-input-reception-and-aggregation,146.722,147.560,0.000,0.000,370.314,391.110,391.110,781.906,0.000,1
4.2-tally-periodic-echo-tree,1792.530,1808.262,0.000,0.000,388.333,407.148,501.067,782.562,517.258,1
4.1-streamed-input-reception-and-aggregation,140.608,157.365,0.000,0.000,394.324,415.119,415.119,782.250,0.000,1
4.2-tally-periodic-echo-tree,1750.002,1765.093,0.000,0.000,412.343,407.150,532.619,782.562,547.465,1
4.1-streamed-input-reception-and-aggregation,136.458,155.395,0.000,0.000,394.327,415.122,415.122,782.344,0.000,1
4.2-tally-periodic-echo-tree,23.521,23.649,0.000,0.000,412.346,419.236,419.236,782.000,0.000,1
4.1-streamed-input-reception-and-aggregation,138.693,139.338,0.000,0.000,418.335,439.130,439.130,782.375,0.000,1
4.2-tally-periodic-echo-tree,3460.264,3488.787,0.000,0.000,436.354,407.157,661.384,782.531,675.785,1
4.2-tally-periodic-echo-tree,336.289,373.272,336.145,373.212,354.581,360.677,360.677,782.250,0.000,1
4.3-tally-lagrange-indicator,1627.750,1665.142,0.000,0.000,354.570,375.039,444.323,782.500,461.164,1
4.4-tally-delegate-support,1274.900,1295.102,0.000,0.000,360.450,383.429,398.633,782.500,413.867,1
4.5-tally-dTilde,534.567,539.204,0.000,0.000,355.949,368.162,368.162,782.125,0.000,1
4.6-tally-Dw+dTilde,6848.371,6938.836,0.000,0.000,346.822,358.387,2655.294,2970.188,2631.586,4
4.7-tally-vote-weight-product,880.818,1110.027,0.000,0.000,345.332,40.305,364.992,2970.531,2054.121,1
5-threshold-decrypt-verify,16.882,32.752,12.608,17.997,12.977,4.578,4.578,2970.500,0.000,2
