phase,op,count
3-pre-election-weight-input-preparation,Encode,5
3-pre-election-weight-input-preparation,EncryptNew,4
3-pre-election-weight-input-preparation,MulNew,4
3.1-benchmark-input-fixture-preparation,EncodeInputFixture,1
3.1-benchmark-input-fixture-preparation,EncryptInputFixture,1
4.1-streamed-input-reception-and-aggregation,Add,30000
4.1-streamed-input-reception-and-aggregation,Encode,5
4.1-streamed-input-reception-and-aggregation,EncryptNew,60
4.2-tally-periodic-echo-sequential,Add,32
4.2-tally-periodic-echo-sequential,AddNew,72
4.2-tally-periodic-echo-sequential,FinalEchoRefreshBoundary,1
4.2-tally-periodic-echo-sequential,MulNew,40
4.2-tally-periodic-echo-sequential,MulRelinNew,32
4.2-tally-periodic-echo-sequential,RefreshAggregateShare,16
4.2-tally-periodic-echo-sequential,RefreshFinalize,8
4.2-tally-periodic-echo-sequential,RefreshGenShare,24
4.3-tally-lagrange-indicator,Add (poly-est),40
4.3-tally-lagrange-indicator,MulRelinNew (poly-est),40
4.3-tally-lagrange-indicator,PolyEvaluate,8
4.4-tally-delegate-support,Add,3
4.4-tally-delegate-support,AddNew,4
4.4-tally-delegate-support,Encode,1
4.4-tally-delegate-support,MulNew,1
4.4-tally-delegate-support,MulRelinNew,4
4.4-tally-delegate-support,RotateAndAdd,4
4.4-tally-delegate-support,RotateRowsNew,4
4.5-tally-dTilde,AddNew,4
4.5-tally-dTilde,MulNew,4
4.5-tally-dTilde,MulRelinNew,4
4.5-tally-dTilde,RotateAndAdd,4
4.6-tally-Dw+dTilde,Add,5
4.6-tally-Dw+dTilde,AddNew,4
4.6-tally-Dw+dTilde,Encode,3276
4.6-tally-Dw+dTilde,MulNew,5
4.6-tally-Dw+dTilde,RotateColumnsNew,5
4.7-tally-vote-weight-product,Add,19
4.7-tally-vote-weight-product,AddNew,1
4.7-tally-vote-weight-product,MulRelinNew,4
4.7-tally-vote-weight-product,RotateAndAdd,1
4.7-tally-vote-weight-product,RotateColumnsNew,16
4.7-tally-vote-weight-product,RotateRowsNew,1
5-threshold-decrypt-verify,Decode,1
5-threshold-decrypt-verify,DecryptNew,1
