phase,op,count
3-pre-election-weight-input-preparation,Encode,17
3-pre-election-weight-input-preparation,EncryptNew,16
3-pre-election-weight-input-preparation,MulNew,16
3.1-benchmark-input-fixture-preparation,EncodeInputFixture,1
3.1-benchmark-input-fixture-preparation,EncryptInputFixture,1
4.1-streamed-input-reception-and-aggregation,Add,300000
4.1-streamed-input-reception-and-aggregation,Encode,5
4.1-streamed-input-reception-and-aggregation,EncryptNew,240
4.2-tally-periodic-echo-tree,AddNew,672
4.2-tally-periodic-echo-tree,MulNew,160
4.2-tally-periodic-echo-tree,MulRelinNew,512
4.3-tally-lagrange-indicator,Add (poly-est),160
4.3-tally-lagrange-indicator,MulRelinNew (poly-est),160
4.3-tally-lagrange-indicator,PolyEvaluate,32
4.4-tally-delegate-support,Add,15
4.4-tally-delegate-support,AddNew,16
4.4-tally-delegate-support,Encode,1
4.4-tally-delegate-support,MulNew,1
4.4-tally-delegate-support,MulRelinNew,16
4.4-tally-delegate-support,RotateAndAdd,16
4.4-tally-delegate-support,RotateRowsNew,16
4.5-tally-dTilde,AddNew,16
4.5-tally-dTilde,MulNew,16
4.5-tally-dTilde,MulRelinNew,16
4.5-tally-dTilde,RotateAndAdd,16
4.6-tally-Dw+dTilde,Add,5
4.6-tally-Dw+dTilde,AddNew,16
4.6-tally-Dw+dTilde,Encode,6552
4.6-tally-Dw+dTilde,MulNew,5
4.6-tally-Dw+dTilde,RotateColumnsNew,5
4.7-tally-vote-weight-product,Add,79
4.7-tally-vote-weight-product,AddNew,1
4.7-tally-vote-weight-product,MulRelinNew,16
4.7-tally-vote-weight-product,RotateAndAdd,1
4.7-tally-vote-weight-product,RotateColumnsNew,64
4.7-tally-vote-weight-product,RotateRowsNew,1
5-threshold-decrypt-verify,Decode,1
5-threshold-decrypt-verify,DecryptNew,1
