phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,15.328,29.762,0.000,0.000,2.089,9.612,9.612,26.031,0.000,3
2-bgv-setup,15648.981,16050.434,15570.856,15951.341,9.639,1881.699,2356.389,2710.594,2716.910,19
3-pre-election-weight-input-preparation,713.907,801.951,0.000,0.000,1161.612,1298.937,1298.937,2710.594,2210.090,1
3.1-benchmark-input-fixture-preparation,39.689,51.445,0.000,0.000,1289.881,1300.922,1300.922,2710.250,0.000,1
4.1-streamed-input-reception-and-aggregation,125756.026,126773.938,0.000,0.000,1297.882,1490.028,1521.360,2710.594,1535.367,2
4.2-tally-periodic-echo-sequential,481.692,484.205,0.000,0.000,1490.037,1556.309,1556.309,2710.125,0.000,1
4.1-streamed-input-reception-and-aggregation,1437.676,1482.100,0.000,0.000,1554.033,1753.351,1753.351,2710.594,1752.969,1
4.2-tally-periodic-echo-sequential,6334.835,6400.390,0.000,0.000,1746.073,1592.873,2279.478,2710.531,2294.945,1
4.1-streamed-input-reception-and-aggregation,1507.570,1586.307,0.000,0.000,1554.040,1753.124,1753.124,2710.531,1801.312,1
4.2-tally-periodic-echo-sequential,6595.458,6650.862,0.000,0.000,1746.095,1591.638,2270.019,2710.531,2286.699,1
4.1-streamed-input-reception-and-aggregation,1586.807,1674.850,0.000,0.000,1554.062,1753.132,1753.132,2710.531,1766.059,1
4.2-tally-periodic-echo-sequential,6379.163,6437.277,0.000,0.000,1746.103,1591.648,2270.289,2710.500,2285.887,1
4.1-streamed-input-reception-and-aggregation,1490.015,1583.292,0.000,0.000,1554.069,1753.139,1753.139,2710.500,1781.746,1
4.2-tally-periodic-echo-sequential,6300.396,6362.032,0.000,0.000,1746.109,1591.654,2270.360,2710.500,2290.062,1
4.3-tally-lagrange-indicator,22757.582,23071.201,0.000,0.000,1413.565,1520.181,2285.293,2710.500,2303.840,1
4.4-tally-delegate-support,18379.933,18649.514,0.000,0.000,1477.334,1545.714,1795.558,2710.469,1810.758,1
4.5-tally-dTilde,6508.351,6611.467,0.000,0.000,1417.341,1386.444,1729.350,2710.469,1745.160,1
4.6-tally-Dw+dTilde,34973.466,35401.671,0.000,0.000,1321.084,1399.688,15209.423,15334.156,14593.531,4
4.7-tally-vote-weight-product,8630.421,9656.982,0.000,0.000,1317.118,166.564,1773.893,15334.469,9752.746,1
5-threshold-decrypt-verify,35.589,54.006,28.413,43.367,37.257,14.444,14.444,15334.375,0.000,1
