phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,0.470,0.484,0.000,0.000,2.084,2.035,2.035,10.469,0.000,1
2-bgv-setup,15916.614,16260.694,15845.385,16168.203,2.035,1873.623,2435.185,2818.312,2574.656,22
3-pre-election-weight-input-preparation,53.614,67.167,0.000,0.000,1153.508,1170.847,1170.847,2818.562,0.000,1
4.1-streamed-input-reception-and-aggregation,22442.589,22804.634,0.000,0.000,1162.045,1181.079,2252.345,2818.562,2642.539,3
4.2-tally-periodic-echo-sequential,31.054,42.497,0.000,0.000,1174.052,1180.316,1180.316,2818.312,0.000,1
4.1-streamed-input-reception-and-aggregation,22169.097,22470.503,0.000,0.000,1178.040,1197.077,2333.099,2818.562,2420.008,3
4.2-tally-periodic-echo-sequential,419.638,506.852,0.000,0.000,1190.077,1213.638,1253.842,2818.531,1326.906,1
4.1-streamed-input-reception-and-aggregation,22260.609,22482.151,0.000,0.000,1178.064,1197.105,2327.254,2818.531,2428.445,3
4.2-tally-periodic-echo-sequential,412.801,497.691,0.000,0.000,1190.106,1213.666,1213.666,2818.312,0.000,1
4.1-streamed-input-reception-and-aggregation,21778.505,22003.010,0.000,0.000,1178.091,1197.125,2319.181,2818.531,2428.062,3
4.2-tally-periodic-echo-sequential,373.792,469.658,0.000,0.000,1190.127,1213.753,1253.962,2818.531,1329.441,1
4.1-streamed-input-reception-and-aggregation,21839.556,22094.342,0.000,0.000,1178.113,1197.145,2382.061,2818.531,2404.430,3
4.2-tally-periodic-echo-sequential,381.762,472.027,0.000,0.000,1190.146,1213.708,1226.431,2818.531,1545.176,1
4.3-tally-lagrange-indicator,1319.122,1336.723,0.000,0.000,1165.390,1208.717,1239.383,2818.531,1302.281,1
4.4-tally-delegate-support,1315.722,1325.086,0.000,0.000,1169.127,1235.484,1239.487,2818.531,1302.281,1
4.5-tally-dTilde,460.752,469.224,0.000,0.000,1169.128,1224.973,1224.973,2818.531,1302.281,1
4.6-tally-Dw+dTilde,1479.932,1489.968,0.000,0.000,1162.879,1180.686,1402.124,2818.531,1423.012,1
4.7-tally-vote-weight-product,1496.134,1555.019,0.000,0.000,1158.879,95.041,1249.585,2818.531,1332.531,1
5-threshold-decrypt-verify,43.878,76.862,34.900,62.853,28.960,6.688,6.688,2818.125,0.000,2
