phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,0.189,0.189,0.000,0.000,0.548,0.564,0.564,3.500,0.000,1
2-bgv-setup,10988.076,11073.822,10931.225,11015.092,0.569,1871.628,2440.409,2983.344,2980.586,24
3-pre-election-weight-input-preparation,34.517,38.212,0.000,0.000,1151.534,1168.796,1168.796,2983.312,0.000,1
4.1-streamed-input-reception-and-aggregation,17451.836,17557.585,0.000,0.000,1160.037,1179.050,2288.214,2983.312,2366.555,3
4.2-tally-periodic-echo-tree,279.034,306.502,0.000,0.000,1172.049,1210.069,1210.069,2983.281,0.000,1
4.1-streamed-input-reception-and-aggregation,17337.129,17420.797,0.000,0.000,1176.048,1195.062,2329.964,2983.281,2399.988,3
4.2-tally-periodic-echo-tree,1410.181,1444.073,0.000,0.000,1188.062,1226.088,1270.328,2983.281,1323.762,1
4.1-streamed-input-reception-and-aggregation,17174.207,17245.433,0.000,0.000,1192.066,1211.086,2362.766,2983.250,2402.051,3
4.2-tally-periodic-echo-tree,1411.189,1442.698,0.000,0.000,1204.086,1226.103,1310.531,2983.250,1340.820,1
4.1-streamed-input-reception-and-aggregation,17172.280,17244.157,0.000,0.000,1192.082,1211.097,2419.840,2983.250,2440.164,3
4.2-tally-periodic-echo-tree,317.894,344.623,0.000,0.000,1204.098,1242.117,1242.117,2983.250,0.000,1
4.1-streamed-input-reception-and-aggregation,17093.144,17153.282,0.000,0.000,1208.096,1227.605,2376.473,2983.250,2432.047,3
4.2-tally-periodic-echo-tree,2674.135,2711.445,0.000,0.000,1220.103,1226.120,1370.893,2983.250,1960.359,1
4.3-tally-lagrange-indicator,1043.747,1053.379,0.000,0.000,1163.342,1205.114,1213.520,2983.250,1296.723,1
4.4-tally-delegate-support,902.612,906.175,0.000,0.000,1167.090,1231.870,1235.729,2983.250,1296.723,1
4.5-tally-dTilde,329.971,330.838,0.000,0.000,1167.090,1221.367,1221.367,2983.250,0.000,1
4.6-tally-Dw+dTilde,1044.732,1046.658,0.000,0.000,1160.840,1178.605,1669.259,2983.250,1643.672,1
4.7-tally-vote-weight-product,1159.425,1173.126,0.000,0.000,1156.840,91.447,1245.549,2983.250,1287.328,1
5-threshold-decrypt-verify,23.275,30.073,18.342,23.381,26.922,5.157,5.157,2983.250,0.000,2
