name,count,each_bytes,total_mib,notes
D_matrix,25000,40,0.954,n rows of k uint64 (one-hot)
delegation_periods,5,200000,0.954,"period-major choices; -1 zero component/absence, paired -2 all-zero submission"
candidate_periods,5,200000,0.954,"period-major choices; -1 zero component/absence, paired -2 all-zero submission"
q_vector,1,200000,0.191,flat n uint64 voting power
rlk,1,37750288,36.001,
galois_keys,50,37750304,1800.075,
galois_elements,50,8,0.000,uint64 indices fed to GenGaloisKeysNew
qExtCiphertexts,4,4194734,16.002,each_bytes is mean across slice
qBaseCiphertexts,4,4194734,16.002,each_bytes is mean across slice
candidatePeriodInputs/p0,4,4194734,16.002,each_bytes is mean across slice
sharedMaskCiphertexts/p0,4,4194734,16.002,each_bytes is mean across slice
delegationPeriodInputs/p0,4,4194734,16.002,each_bytes is mean across slice
candidatePeriodInputs/p1,4,4194734,16.002,each_bytes is mean across slice
sharedMaskCiphertexts/p1,4,4194734,16.002,each_bytes is mean across slice
delegationPeriodInputs/p1,4,4194734,16.002,each_bytes is mean across slice
candidatePeriodInputs/p2,4,4194734,16.002,each_bytes is mean across slice
sharedMaskCiphertexts/p2,4,4194734,16.002,each_bytes is mean across slice
delegationPeriodInputs/p2,4,4194734,16.002,each_bytes is mean across slice
candidatePeriodInputs/p3,4,4194734,16.002,each_bytes is mean across slice
sharedMaskCiphertexts/p3,4,4194734,16.002,each_bytes is mean across slice
delegationPeriodInputs/p3,4,4194734,16.002,each_bytes is mean across slice
candidatePeriodInputs/p4,4,4194734,16.002,each_bytes is mean across slice
sharedMaskCiphertexts/p4,4,4194734,16.002,each_bytes is mean across slice
delegationPeriodInputs/p4,4,4194734,16.002,each_bytes is mean across slice
sampled_input_ciphertexts,75000,4194734,300030.756,benchmark sample count only; not a communication estimate
vCiphertexts,4,4194734,16.002,each_bytes is mean across slice
dCiphertexts,4,4194734,16.002,each_bytes is mean across slice
dWeighted,4,4194734,16.002,each_bytes is mean across slice
ctDelegateSupport,1,4194734,4.000,each_bytes is mean across slice
dTildeCiphertexts,4,4194734,16.002,each_bytes is mean across slice
dwCiphertexts,4,4194734,16.002,each_bytes is mean across slice
voterWeightCiphertexts,4,4194734,16.002,each_bytes is mean across slice
voterWeightExpanded,4,4194734,16.002,each_bytes is mean across slice
ctResult,1,4194734,4.000,each_bytes is mean across slice
