phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,0.648,0.689,0.000,0.000,2.084,2.075,2.075,10.594,0.000,1
2-bgv-setup,15646.912,15971.933,15565.583,15866.704,2.080,1873.665,2592.405,2922.594,2615.523,21
3-pre-election-weight-input-preparation,56.721,74.752,0.000,0.000,1153.550,1170.860,1170.860,2922.125,0.000,1
4.1-streamed-input-reception-and-aggregation,56359.647,57057.563,0.000,0.000,1162.058,1181.163,2330.117,2922.562,2396.289,6
4.2-tally-periodic-echo-sequential,22.726,31.222,0.000,0.000,1174.136,1180.400,1180.400,2922.438,0.000,1
4.1-streamed-input-reception-and-aggregation,56248.341,56913.448,0.000,0.000,1178.124,1197.218,2400.427,2922.531,2434.176,6
4.2-tally-periodic-echo-sequential,393.523,479.936,0.000,0.000,1190.191,1214.251,1214.251,2922.281,0.000,1
4.1-streamed-input-reception-and-aggregation,55765.123,56385.453,0.000,0.000,1178.176,1197.251,2342.864,2922.531,2434.336,6
4.2-tally-periodic-echo-sequential,433.884,518.571,0.000,0.000,1190.252,1213.815,1254.204,2922.500,1331.145,1
4.1-streamed-input-reception-and-aggregation,56065.893,56694.608,0.000,0.000,1178.238,1197.297,2396.351,2922.500,2436.109,6
4.2-tally-periodic-echo-sequential,398.763,472.333,0.000,0.000,1190.299,1213.859,1213.859,2922.312,0.000,1
4.1-streamed-input-reception-and-aggregation,54943.372,55581.897,0.000,0.000,1178.284,1198.121,2396.428,2922.500,2434.719,6
4.2-tally-periodic-echo-sequential,408.851,484.178,0.000,0.000,1190.343,1213.903,1213.903,2921.969,0.000,1
4.3-tally-lagrange-indicator,1368.775,1394.961,0.000,0.000,1165.585,1208.913,1247.990,2922.500,1303.219,1
4.4-tally-delegate-support,1389.126,1400.068,0.000,0.000,1169.324,1235.680,1239.952,2922.500,1303.219,1
4.5-tally-dTilde,437.744,449.766,0.000,0.000,1169.325,1225.169,1225.169,2922.500,1303.219,1
4.6-tally-Dw+dTilde,3164.197,3204.672,0.000,0.000,1163.075,1180.595,2311.084,2922.469,2218.223,2
4.7-tally-vote-weight-product,1613.265,1706.979,0.000,0.000,1159.079,95.249,1253.899,2922.469,1292.906,1
5-threshold-decrypt-verify,38.526,66.555,30.567,53.949,29.168,6.890,6.890,2922.094,0.000,2
