phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,10.295,15.852,0.000,0.000,2.084,2.746,2.746,14.594,0.000,2
2-bgv-setup,15479.282,15817.138,15389.705,15713.146,2.773,1873.840,2367.055,2774.625,2788.895,21
3-pre-election-weight-input-preparation,50.553,63.429,0.000,0.000,1153.752,1171.057,1171.057,2773.906,0.000,1
4.1-streamed-input-reception-and-aggregation,550879.543,557188.247,0.000,0.000,1162.255,1183.060,2370.772,2774.594,2410.105,52
4.2-tally-periodic-echo-tree,15.315,20.878,0.000,0.000,1174.781,1181.045,1181.045,2774.031,0.000,1
4.1-streamed-input-reception-and-aggregation,547929.544,555094.364,0.000,0.000,1178.769,1199.829,2411.547,2774.469,2441.562,51
4.2-tally-periodic-echo-tree,1468.009,1576.632,0.000,0.000,1191.299,1229.863,1251.668,2774.406,1333.289,1
4.1-streamed-input-reception-and-aggregation,545407.988,552510.208,0.000,0.000,1195.320,1214.787,2438.298,2774.406,2474.520,51
4.2-tally-periodic-echo-tree,1422.569,1522.121,0.000,0.000,1207.787,1229.848,1268.492,2774.344,1353.887,1
4.1-streamed-input-reception-and-aggregation,547300.676,555135.228,0.000,0.000,1195.773,1216.056,2443.171,2774.344,2476.180,51
4.2-tally-periodic-echo-tree,15.346,23.363,0.000,0.000,1208.280,1214.543,1214.543,2773.906,0.000,1
4.1-streamed-input-reception-and-aggregation,549962.191,557268.234,0.000,0.000,1212.267,1234.008,2472.342,2774.312,2511.051,50
4.2-tally-periodic-echo-tree,2762.317,2890.969,0.000,0.000,1224.726,1232.040,1397.139,2774.312,1417.711,1
4.3-tally-lagrange-indicator,1294.320,1348.937,0.000,0.000,1167.966,1209.792,1232.391,2774.312,1312.129,1
4.4-tally-delegate-support,1243.452,1255.875,0.000,0.000,1171.703,1236.560,1248.708,2774.312,1312.129,1
4.5-tally-dTilde,410.545,413.108,0.000,0.000,1171.705,1226.047,1226.047,2773.938,0.000,1
4.6-tally-Dw+dTilde,28116.993,28377.130,0.000,0.000,1165.455,1183.791,11470.322,11693.656,11166.445,4
4.7-tally-vote-weight-product,1445.518,2012.857,0.000,0.000,1161.481,96.144,1254.512,11694.281,10192.445,1
5-threshold-decrypt-verify,35.776,69.176,28.483,57.741,31.565,9.794,9.794,11694.250,0.000,2
