experiment_id,parameter_id,metric,samples,median,min,max
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-aggregate-initialization:cpu_ms,3,2953.317,2919.086,2993.925
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-aggregate-initialization:wall_ms,3,2812.535,2767.669,2865.277
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-estimated-full-server-aggregation:cpu_ms,3,118232.105,116934.2,118878.84
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-estimated-full-server-aggregation:wall_ms,3,116897.524,115556.964,117496.632
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-server-aggregation:cpu_ms,3,23646.421,23386.84,23775.768
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-server-aggregation:wall_ms,3,23379.504,23111.392,23499.326
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-simulated-client-input-preparation:cpu_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:4.1-simulated-client-input-preparation:wall_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:galois-key-generation:cpu_ms,3,4169.392,4118.726,4197.162
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:galois-key-generation:wall_ms,3,4004.214,3957.532,4034.157
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:public-key-generation:cpu_ms,3,27.314,15.482,27.863
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:public-key-generation:wall_ms,3,19.229,15.354,22.516
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:refresh:cpu_ms,3,1356.278,1346.22,1359.199
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:refresh:wall_ms,3,1294.996,1281.455,1298.363
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:relinearization-key-generation:cpu_ms,3,256.847,255.284,259.942
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:relinearization-key-generation:wall_ms,3,232.233,231.969,235.843
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:threshold-decryption:cpu_ms,3,16.827,15.956,21.332
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,component:multiparty:threshold-decryption:wall_ms,3,11.179,10.662,14.17
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,multiparty_tally_wall_ms,3,1295.011,1281.471,1298.38
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:1-init-random-inputs:cpu_ms,3,17.627,16.781,20.493
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:1-init-random-inputs:multiparty_cpu_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:1-init-random-inputs:multiparty_wall_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:1-init-random-inputs:wall_ms,3,10.648,9.752,10.72
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:2-bgv-setup:cpu_ms,3,4500.824,4452.679,4527.898
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:2-bgv-setup:multiparty_cpu_ms,3,4440.158,4405.982,4481.872
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:2-bgv-setup:multiparty_wall_ms,3,4251.802,4212.604,4288.644
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:2-bgv-setup:wall_ms,3,4295.795,4251.92,4325.739
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:3-pre-election-weight-input-preparation:cpu_ms,3,281.729,267.253,313.269
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:3-pre-election-weight-input-preparation:multiparty_cpu_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:3-pre-election-weight-input-preparation:multiparty_wall_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:3-pre-election-weight-input-preparation:wall_ms,3,244.844,234.925,278.287
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:3.1-benchmark-input-fixture-preparation:cpu_ms,3,18.864,17.237,25.179
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:3.1-benchmark-input-fixture-preparation:multiparty_cpu_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:3.1-benchmark-input-fixture-preparation:multiparty_wall_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:3.1-benchmark-input-fixture-preparation:wall_ms,3,15.076,13.607,20.095
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.1-streamed-input-reception-and-aggregation:cpu_ms,3,26779.790999999997,26560.09,26983.999
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.1-streamed-input-reception-and-aggregation:multiparty_cpu_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.1-streamed-input-reception-and-aggregation:multiparty_wall_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.1-streamed-input-reception-and-aggregation:wall_ms,3,26461.89,26245.821,26682.349
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.2-tally-periodic-echo-sequential:cpu_ms,3,9061.153,8968.99,9174.42
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.2-tally-periodic-echo-sequential:multiparty_cpu_ms,3,1356.278,1346.22,1359.199
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.2-tally-periodic-echo-sequential:multiparty_wall_ms,3,1295.011,1281.471,1298.38
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.2-tally-periodic-echo-sequential:wall_ms,3,8935.102,8845.192000000001,9046.377
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.3-tally-lagrange-indicator:cpu_ms,3,6701.517,6619.451,6822.875
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.3-tally-lagrange-indicator:multiparty_cpu_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.3-tally-lagrange-indicator:multiparty_wall_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.3-tally-lagrange-indicator:wall_ms,3,6604.033,6536.432,6718.017
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.4-tally-delegate-support:cpu_ms,3,4965.199,4856.787,5224.641
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.4-tally-delegate-support:multiparty_cpu_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.4-tally-delegate-support:multiparty_wall_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.4-tally-delegate-support:wall_ms,3,4893.202,4784.448,5143.884
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.5-tally-dTilde:cpu_ms,3,1927.045,1903.103,1986.94
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.5-tally-dTilde:multiparty_cpu_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.5-tally-dTilde:multiparty_wall_ms,3,0.0,0.0,0.0
n50000-b5-k5-sequential-final,280b30ac4ba12742d6f6fc903f54352a70dd4b0188627fbf3d62115a88c42d06,phase:4.5-tally-dTilde:wall_ms,3,1893.479,1880.08,1949.283
