name,count,each_bytes,total_mib,notes
D_matrix,50000,40,1.907,n rows of k uint64 (one-hot)
q_vector,1,400000,0.381,flat n uint64 voting power
rlk,1,37750288,36.001,
galois_keys,50,37750304,1800.075,
galois_elements,50,8,0.000,uint64 indices fed to GenGaloisKeysNew
qExtCiphertexts,8,4194734,32.003,each_bytes is mean across slice
qBaseCiphertexts,8,4194734,32.003,each_bytes is mean across slice
benchmarkInputFixtures,1,4194734,4.000,each_bytes is mean across slice
candidatePeriodInputs/p0,8,4194734,32.003,each_bytes is mean across slice
sharedMaskCiphertexts/p0,8,4194734,32.003,each_bytes is mean across slice
delegationPeriodInputs/p0,8,4194734,32.003,each_bytes is mean across slice
candidatePeriodInputs/p1,8,4194734,32.003,each_bytes is mean across slice
sharedMaskCiphertexts/p1,8,4194734,32.003,each_bytes is mean across slice
delegationPeriodInputs/p1,8,4194734,32.003,each_bytes is mean across slice
candidatePeriodInputs/p2,8,4194734,32.003,each_bytes is mean across slice
sharedMaskCiphertexts/p2,8,4194734,32.003,each_bytes is mean across slice
delegationPeriodInputs/p2,8,4194734,32.003,each_bytes is mean across slice
candidatePeriodInputs/p3,8,4194734,32.003,each_bytes is mean across slice
sharedMaskCiphertexts/p3,8,4194734,32.003,each_bytes is mean across slice
delegationPeriodInputs/p3,8,4194734,32.003,each_bytes is mean across slice
candidatePeriodInputs/p4,8,4194734,32.003,each_bytes is mean across slice
sharedMaskCiphertexts/p4,8,4194734,32.003,each_bytes is mean across slice
delegationPeriodInputs/p4,8,4194734,32.003,each_bytes is mean across slice
sampled_input_ciphertexts,150000,4194734,600061.512,benchmark sample count only; not a communication estimate
vCiphertexts,8,4194734,32.003,each_bytes is mean across slice
dCiphertexts,8,4194734,32.003,each_bytes is mean across slice
dWeighted,8,4194734,32.003,each_bytes is mean across slice
ctDelegateSupport,1,4194734,4.000,each_bytes is mean across slice
dTildeCiphertexts,8,4194734,32.003,each_bytes is mean across slice
dwCiphertexts,8,4194734,32.003,each_bytes is mean across slice
voterWeightCiphertexts,8,4194734,32.003,each_bytes is mean across slice
voterWeightExpanded,8,4194734,32.003,each_bytes is mean across slice
ctResult,1,4194734,4.000,each_bytes is mean across slice
