phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,12.362,20.477,0.000,0.000,2.083,5.794,5.794,14.438,0.000,2
2-bgv-setup,4276.886,4474.788,4243.833,4433.310,5.827,534.757,552.492,818.656,809.168,18
3-pre-election-weight-input-preparation,232.491,267.822,0.000,0.000,335.205,386.898,386.898,818.000,0.000,1
3.1-benchmark-input-fixture-preparation,16.744,20.531,0.000,0.000,383.345,387.636,387.636,818.375,0.000,1
4.1-streamed-input-reception-and-aggregation,24141.950,24312.113,0.000,0.000,386.852,461.947,467.775,818.625,482.727,1
4.2-tally-periodic-echo-tree,125.251,126.072,0.000,0.000,458.914,483.810,483.810,818.156,0.000,1
4.1-streamed-input-reception-and-aggregation,579.711,583.199,0.000,0.000,482.909,557.974,557.974,818.594,545.996,1
4.2-tally-periodic-echo-tree,7212.285,7279.514,0.000,0.000,554.944,591.776,1014.430,1070.250,1028.566,1
4.1-streamed-input-reception-and-aggregation,559.086,616.027,0.000,0.000,578.949,653.763,653.763,1070.531,652.820,1
4.2-tally-periodic-echo-tree,7160.627,7221.320,0.000,0.000,650.984,591.784,1122.611,1161.812,1137.164,1
4.1-streamed-input-reception-and-aggregation,566.495,633.718,0.000,0.000,578.956,653.768,653.768,1162.531,680.426,1
4.2-tally-periodic-echo-tree,104.748,105.355,0.000,0.000,650.992,675.888,675.888,1162.312,0.000,1
4.1-streamed-input-reception-and-aggregation,556.986,561.972,0.000,0.000,674.992,749.803,749.803,1161.875,0.000,1
4.2-tally-periodic-echo-tree,13917.561,14058.053,0.000,0.000,747.026,592.425,1482.010,1502.500,1507.113,2
4.2-tally-periodic-echo-tree,1251.609,1367.749,1251.094,1367.553,429.691,441.867,634.062,1502.500,664.543,2
4.3-tally-lagrange-indicator,6412.076,6525.545,0.000,0.000,429.681,467.908,744.501,1502.469,761.328,1
4.4-tally-delegate-support,4883.973,4958.384,0.000,0.000,453.568,476.935,565.766,1502.469,583.250,1
4.5-tally-dTilde,1930.653,1964.593,0.000,0.000,431.068,416.277,538.820,1502.469,555.598,1
4.6-tally-Dw+dTilde,6882.899,7016.220,0.000,0.000,394.935,424.356,2924.581,2990.500,2920.414,4
4.7-tally-vote-weight-product,2465.290,2664.789,0.000,0.000,393.449,61.417,542.254,2990.500,571.402,1
5-threshold-decrypt-verify,14.985,22.865,11.884,18.271,16.082,7.711,7.711,2990.469,0.000,1
