name,count,each_bytes,total_mib,notes
D_matrix,500000,40,19.073,n rows of k uint64 (one-hot)
q_vector,1,4000000,3.815,flat n uint64 voting power
rlk,1,37750288,36.001,
galois_keys,50,37750304,1800.075,
galois_elements,50,8,0.000,uint64 indices fed to GenGaloisKeysNew
qExtCiphertexts,77,4194734,308.032,each_bytes is mean across slice
qBaseCiphertexts,77,4194734,308.032,each_bytes is mean across slice
benchmarkInputFixtures,1,4194734,4.000,each_bytes is mean across slice
candidatePeriodInputs/p0,77,4194734,308.032,each_bytes is mean across slice
sharedMaskCiphertexts/p0,77,4194734,308.032,each_bytes is mean across slice
delegationPeriodInputs/p0,77,4194734,308.032,each_bytes is mean across slice
candidatePeriodInputs/p1,77,4194734,308.032,each_bytes is mean across slice
sharedMaskCiphertexts/p1,77,4194734,308.032,each_bytes is mean across slice
delegationPeriodInputs/p1,77,4194734,308.032,each_bytes is mean across slice
candidatePeriodInputs/p2,77,4194734,308.032,each_bytes is mean across slice
sharedMaskCiphertexts/p2,77,4194734,308.032,each_bytes is mean across slice
delegationPeriodInputs/p2,77,4194734,308.032,each_bytes is mean across slice
candidatePeriodInputs/p3,77,4194734,308.032,each_bytes is mean across slice
sharedMaskCiphertexts/p3,77,4194734,308.032,each_bytes is mean across slice
delegationPeriodInputs/p3,77,4194734,308.032,each_bytes is mean across slice
candidatePeriodInputs/p4,77,4194734,308.032,each_bytes is mean across slice
sharedMaskCiphertexts/p4,77,4194734,308.032,each_bytes is mean across slice
delegationPeriodInputs/p4,77,4194734,308.032,each_bytes is mean across slice
sampled_input_ciphertexts,1500000,4194734,6000615.120,benchmark sample count only; not a communication estimate
vCiphertexts,77,4194734,308.032,each_bytes is mean across slice
dCiphertexts,77,4194734,308.032,each_bytes is mean across slice
dWeighted,77,4194734,308.032,each_bytes is mean across slice
ctDelegateSupport,1,4194734,4.000,each_bytes is mean across slice
dTildeCiphertexts,77,4194734,308.032,each_bytes is mean across slice
dwCiphertexts,77,4194734,308.032,each_bytes is mean across slice
voterWeightCiphertexts,77,4194734,308.032,each_bytes is mean across slice
voterWeightExpanded,77,4194734,308.032,each_bytes is mean across slice
ctResult,1,4194734,4.000,each_bytes is mean across slice
