phase,wall_ms,cpu_ms,multiparty_wall_ms,multiparty_cpu_ms,heap_start_mib,heap_end_mib,heap_peak_mib,heap_sys_peak_mib,rss_peak_mib,gc_count
1-init-random-inputs,67.825,101.486,0.000,0.000,2.083,40.134,40.134,62.312,0.000,3
2-bgv-setup,16152.599,16854.477,16065.973,16766.548,40.161,1912.250,2686.073,2866.594,2869.773,15
3-pre-election-weight-input-preparation,3477.906,3590.098,0.000,0.000,1192.135,1817.529,1827.538,2866.594,1981.957,1
3.1-benchmark-input-fixture-preparation,38.892,43.194,0.000,0.000,1808.473,1819.514,1819.514,2865.750,0.000,1
4.1-streamed-input-reception-and-aggregation,611166.717,616151.367,0.000,0.000,1831.726,2756.426,2809.708,2866.594,2823.285,6
4.2-tally-periodic-echo-sequential,2189.022,2224.336,0.000,0.000,2756.406,3066.711,4743.814,5242.312,4816.258,1
4.1-streamed-input-reception-and-aggregation,7139.521,7345.922,0.000,0.000,3064.433,3996.613,3996.613,5242.531,3971.758,1
4.2-tally-periodic-echo-sequential,30380.171,30803.031,0.000,0.000,3988.579,3103.333,6477.330,6529.906,6497.289,1
4.1-streamed-input-reception-and-aggregation,7120.762,7487.818,0.000,0.000,3064.495,3996.171,4003.700,6530.438,6267.395,1
4.2-tally-periodic-echo-sequential,30097.079,30495.034,0.000,0.000,3988.636,3104.112,6502.918,6530.438,6523.074,1
4.1-streamed-input-reception-and-aggregation,7244.294,7585.337,0.000,0.000,3064.525,3996.196,3996.196,6530.438,4000.945,1
4.2-tally-periodic-echo-sequential,30139.165,30526.986,0.000,0.000,3988.666,3105.897,6489.264,6530.438,6509.449,1
4.1-streamed-input-reception-and-aggregation,7234.139,7589.575,0.000,0.000,3064.553,3996.534,4007.117,6530.438,5089.227,1
4.2-tally-periodic-echo-sequential,30430.779,30879.342,0.000,0.000,3988.696,3104.926,6497.035,6530.438,6517.262,1
4.3-tally-lagrange-indicator,106148.560,108077.744,0.000,0.000,2420.753,2771.463,4788.193,6530.438,4845.711,2
4.4-tally-delegate-support,89757.728,91306.735,0.000,0.000,2728.614,2798.079,4085.527,6530.406,4100.750,1
4.5-tally-dTilde,30939.587,31616.626,0.000,0.000,2424.644,2026.463,3732.434,6530.406,3749.031,1
4.6-tally-Dw+dTilde,35680.681,36320.462,0.000,0.000,1962.359,2284.543,15838.883,16034.406,15503.539,4
4.7-tally-vote-weight-product,37254.520,38785.128,0.000,0.000,1958.442,392.246,3908.661,16034.406,10154.535,2
5-threshold-decrypt-verify,39.151,59.749,30.615,46.569,68.457,45.711,45.711,16033.688,0.000,1
